trial,a_hex,b,m,alpha,e
0,3d05000058040000ff09000020040000910100005a080000cf020000810a00009000000038020000ad060000740b0000190a0000f0030000ea03000098030000d2080000210a0000cd070000e1030000d309000061070000b10c0000a90a0000d0080000f30800005d080000fd00000031090000dc01000006070000e0050000620b0000b3070000190c00006b070000f00c00005a0c0000a60b0000c5000000ae040000c406000047080000db0900009f000000830900003607000063000000e3030000620a0000c10a0000090b0000580800004d0b0000330a0000b6000000870b00006909000064010000910000004f0c0000c8070000610b0000180b0000,1606,0,6,2
1,1d080000570c00001b0200003f050000260800003e0000004b0a0000e0010000680800001c0b0000cb090000c2030000cc0500005307000047080000c2050000330800007b0200005903000008060000c906000001030000e1000000290900005b030000ea0500008209000091010000610a0000ac080000ba070000780000000e02000027070000c5090000d3050000290c0000c9080000df060000d20c0000da020000af060000a6090000b00100009d0b00003703000082020000160a000083030000f50a0000c70c0000be01000040090000240c000094070000490b0000e1080000c2040000740800001d0a0000660b00003206000042030000f2090000,1532,1,2,-1
2,9d040000920c0000fa050000400100000b0a00000b0b0000a20c000047040000e50600001a050000390600007b030000f10c00004c0500004d0c00006f07000074080000340800003e0100001c000000be000000310c00009206000002000000c702000073080000650600008f0b00003a0100003c040000ef060000f70200001a0a00009b0c000011030000e6050000b20700007f0a00007200000074020000190900008c0000005000000094080000d60a0000020700007a06000018060000aa020000fe090000ea080000250b000030060000dd0500003e0400004d0c0000f20b0000680a0000ff01000026010000a70a0000be0c0000780b000008010000,260,0,6,0
3,960a0000de0a0000d50900005a0a0000200a0000bc050000e1060000f40b00009c080000a4010000b10100009c0c00006c0c0000b6030000d50800007b0c00004c0900009d0200009c0b0000c90b00006e000000ca050000c60b00007b0b0000270a000026080000f50400005f060000ac040000f907000090060000af0700006101000000080000430b0000c5030000770c0000460a00005405000072020000e2050000f4000000fb0a0000630a000027030000e3040000c30b00003c020000100100004a0100002809000030030000d30b0000930000000b080000be020000c60b000000090000140300000a060000ae030000530500004503000053090000,493,0,5,1
4,e00300004f020000920000008d040000a906000098090000c509000084080000620700009e03000094040000660a000016010000460700007b0a0000a00400009f0200006f0b00009b0a000097070000df00000078070000010900009a0a000063000000fc020000e20a0000230a00001d0200005c01000002010000a7080000760a0000fd010000a406000094090000e006000087030000bf090000c80b00000b020000670b000065090000b1080000e50900004d000000570700001601000090090000be080000880a0000d3090000120a000063000000630b00001b0700000f000000df020000eb090000110a000085020000e20c00003f0a00001d080000,2198,0,4,-1
5,bd0700005d020000b60500005c0700004f090000a7010000f90b000073010000d405000066080000490a000092040000120900005b040000560a000062010000de050000340a0000cc030000fb0700005a060000f908000000090000060c000046050000ee0c000033090000b5010000b4020000f10600007e080000f302000084080000ca0000006b03000019050000b1050000600000000a0600007c080000dc000000b604000090030000950a000031080000b50300005403000052060000d4070000ae010000dc0500002b01000054060000590500006a04000007030000e3010000ad0100000b010000c40800001e070000660c0000e1030000f50a0000,1160,1,7,0
6,7d050000db010000e00c00006309000067000000dd0400008e0300005f090000000700003a0800009c080000060a00004c0500007c0300001f0b0000ee0700000e050000aa0200001102000041050000190500000c0400001b010000920300002c0a0000e50700001a04000005040000da050000f9080000820000007a040000ae05000062020000f301000066070000e705000014000000b20200000f050000270c0000d20c0000d9070000df080000c6080000a60400005d0800008b0b0000a1080000ef060000620800003e0a0000f40c00000e050000ea080000ec0900003e0c0000c5000000e30c0000f90700006704000003080000b709000000010000,761,1,7,0
7,d2050000680b0000530a000033080000ab050000a4040000a70c0000ab050000b102000025060000dd0700004d070000e90b0000a20000002f080000290700002406000028040000eb040000350c0000fd020000470800000c0c0000c201000045000000fb000000a709000082060000e00b0000050600006d04000022090000c70500008f0200005c0300003d060000560400005c0b0000a6060000b6070000980200001c060000bf06000014080000a9040000d302000001000000f1010000510c0000220a0000fa0c0000310b00004908000012030000aa0500003804000097080000b60100007b02000073070000390a000028060000e20400005a020000,526,1,6,-2
8,6c0300000e030000ce0300008b080000c80800005f0000001c0000005309000070050000f0010000870b0000d5040000c70c0000660c00008a03000010050000a70200003101000038080000fa000000a807000047020000460900008b0c0000160600002b0200001b020000c10a00003f000000f50b00003b02000009070000aa080000d60b0000f2070000dd02000025090000de0a0000c1070000d30700002f0200002b05000066010000a9050000620c0000dc09000087040000fa0c0000d8090000d3030000ba020000850b0000e6060000b6020000e50a00008d09000099050000230500003e070000520b00003e07000039080000c3020000da000000,2096,1,0,1
9,35080000dd0b0000ef00000073030000fb0c0000040800003a040000dc000000e507000045030000420600006f0400008d010000ae05000082080000f00c0000bf0b0000df060000780400006501000000050000ca0b0000080c0000530700004e090000b10900002e00000035000000dd080000e40c0000bd060000d50c0000d4030000c903000043050000e30400002507000028070000d801000059010000b60b000041010000c2070000c9060000080500006d0700006e070000e605000057070000f0070000d2040000750b00006b020000fb0c00003402000023030000eb040000fb020000020a0000e80900004d0500007800000093000000c3080000,1175,0,3,1
10,1b0800003b0400003907000097000000b5050000ac030000c70b000023040000630b00007d010000d90a0000e50a0000420a0000120a0000810b0000510300002c090000f800000060070000580a000045050000b6040000e3020000ab0b00005a030000e700000076070000ee0c0000250900008b050000dc040000a70b0000f20800004b0500003d0c00004f0100005b0000008f0a000064080000e7040000a30b00003c0200001403000044070000e9050000c903000011000000660b000087040000ed010000a2090000a6070000e50a0000ad0800008e000000730a0000e206000034050000ad0b0000ff05000098020000b1070000e70400004a080000,2558,1,5,1
11,f00600002f0700006f090000080b00008506000008040000c609000038050000b9070000fc01000019070000750400009b000000990800003d04000070050000c1090000f0030000070800000804000099020000f80a0000290b0000f10600008e09000020030000e70900005e03000021050000f601000099080000ca000000cb090000cb0a00004a040000c00c0000b201000040040000d10200009e0c000090020000bd080000ae070000b30200001f070000700b000038040000750100005c080000fe00000000060000e9010000f507000072020000f30300005c0a000012030000a7090000fc090000a3020000c9060000c6000000d40c000083030000,897,1,1,1
12,9b0200006e0100005c040000fb03000032080000aa020000c30c000093090000e50b0000040b0000260500002f020000fc060000570a0000bd030000e60000006f040000fd0500004d0b0000510c0000660100003d0a000074000000f40400009a040000e906000013000000450200007504000041070000a2060000f3020000ee0c000016030000bc020000a3040000ea0000002f0a0000e90000000b0c00002b0800003d0a000062060000660b0000ba070000f3080000390a000062040000590a0000170b0000190100004200000077040000ee040000150900008f0600004304000081050000d3060000ba0800003708000056000000da05000074070000,3083,0,5,0
13,53060000690a00003c070000cd0c000056090000160400003c070000d20c000087020000ff0c0000e3040000370600007d0c0000670c0000bc070000eb05000006080000c90500008b0200000d000000b70c00002d0b0000f1050000910a0000d20c000049030000050100001d0c00003d02000074010000e20b000055080000fc0a0000c1050000360c0000e4050000f6010000bf0900004e0a0000b40600005f0100007d0b00008e030000350b000085010000af07000069090000540900003d0c0000c60b00001a070000af0900003e040000a607000001020000930b0000290c0000220a0000eb0700006f0b00000d0800000b0a00007401000039040000,2542,0,0,0
14,1d070000640a000033050000d30b00009f040000a9070000d4050000920b000010070000d00100006f010000730c00000f0b0000120000003c040000f50200008a0900004507000013090000c1040000c40500007e0a00003e0600007e000000ee03000069020000e4010000d3090000fc030000810800004009000053030000c50c0000fc060000b10200002d0c0000780100001c030000ea030000390a0000a8000000af0b00001e070000b90500009e0b0000290500005b060000b1000000960c000043070000e8010000ab010000af0c0000ca060000870b00002402000067010000d702000035030000c50a0000c5070000aa0400003606000082050000,2150,1,2,1
15,d5010000e2010000810100005d0500000e0a0000bf010000100900002a030000b10700005206000057060000550400005d0900007a060000220c0000bb07000055090000c80a0000ba0a0000070b00001b0a00006d070000bd0b000043090000680b00008a020000b6040000f00a0000ce010000c106000088070000170700002e0b0000950a00005a080000c5060000a8000000ee0a0000040c0000f30b000087050000cd090000380900003a080000c6070000a70500009e020000610200001d070000280b00000800000099090000c30b0000170200005c0200007a0300002d0b00000403000064060000b90600004b040000bc0700005a0c00003f010000,1372,0,6,1
16,d40200001500000077030000de000000b604000077040000d3060000900700005b07000053070000c30700006a0100007a070000f0040000530000001e000000ae0a00007c0c000063000000a70a0000d3050000630500000f010000600500005b0800000b040000e9050000fb03000062090000090100006f010000580c0000310800001007000008060000a900000004070000740b000092050000b1030000ce090000490300006d0200006a00000008080000aa090000ef030000080c0000210100003c09000066000000df0200004e08000006060000c2010000350a0000b10200008a07000019090000cc050000af0b00007a0c00005d05000052090000,2976,1,7,0
17,bb000000b3000000fd0c0000bb0700000c090000a107000041000000d70a0000950a0000940400002c0c00002b0a00009b0a0000f4020000af0a0000c50300005806000071050000440100000c05000021040000c0080000c1060000f0000000c40b000050070000820b0000c30a0000cb040000290c00007a070000f20b00005f080000130c0000ea070000a7020000da060000760600007b0b0000870100009c020000da0b000011040000db0600000b0200000b0100005404000079040000800900003b090000f70b00000a08000058050000e80a000042010000b3010000680a0000e6020000ae040000b00c0000c10a0000d8030000b4040000c7050000,1327,1,0,0
18,dd0300007e060000eb0a0000de080000d90c0000d00b0000720600000a0200000a0b00000704000003030000700a0000ee010000de060000140500004201000071010000810900004301000093040000490c00003a0200003d010000ad090000bb020000fb080000e307000033020000b100000025080000e40800001d0b0000ea060000640900005e05000025020000e9020000960900007f08000030010000440b000078030000a4090000d9030000b90900005f070000710600006b0100009a090000240800004a0b000011090000200900007d0900003a040000130b000039020000840b00006708000048000000ab0a0000ab020000610c00005f050000,2316,0,5,1
19,9308000076020000e902000026010000dc0c0000b50400000a0200007d0800008e0600000c000000a9000000940500008e040000aa0700008d040000b500000000080000960c0000d40a0000e00200002d0700001c030000b1000000270c0000f20c0000c3090000a40c00001b01000035040000a5010000290700006a080000520400007c090000d9050000ca0b0000af030000b90000009c0600007f080000cf040000b106000089070000ef06000058010000310a00001f0700006c07000006060000870c00003c040000ac030000a7000000620600009d0c0000bf0a000042030000ef09000041080000ee0b0000160100004f0800002d0a0000b9030000,2346,0,6,0
20,2a080000000c000017000000fc080000fb01000041050000370800002f070000d002000072050000d204000074090000750a0000f10500004f07000078020000da0800004c080000720b0000ac070000820700005d0b0000dd040000130400002a0400000c0300004b030000030000000f060000520b0000e40b0000cb0c00009403000099030000d9030000570300005e090000b50c0000320c0000c10400003f060000650100004d010000f90800002c0b0000df0100001c080000610c0000440900000001000005020000ac00000040070000240a0000f603000050080000ba04000070050000930200005809000069060000e80a00007e0300000e010000,149,0,2,1
21,8109000021010000690700000c070000300900006f070000690b0000c4010000be050000500900007c0900009b010000960c000057090000e906000057030000450700005c020000710300003b080000d00700000d060000aa03000022060000e6040000f00c00004404000040050000a30300000d0c000052060000a1030000480900004f0a0000be0600005a00000087010000100b0000c1070000e60100006208000077040000aa0a00006c000000240a0000750400004c0300009d030000960c0000bb0c0000a2030000ab060000f2020000700500008502000082010000680b0000250b0000fe090000e3020000fd0500009e0c00006d010000930a0000,686,1,7,-2
22,59020000230c0000ad03000003010000bd0a0000b5090000620000006406000089010000af030000c103000078020000900100009d090000cd06000068040000750800001a010000700500003e050000e40b00008f0000007d0800009a0200000108000050070000a90a0000e80b00001d08000095010000350800008e09000002040000c6040000430c00001a060000ca050000090600007f05000070030000900000005705000049040000990b00008e0b0000e40c00009f0b000052030000ed010000f9000000e3010000b90b0000080b00003e050000ea070000b90b0000b90a0000fe010000310800007f05000047080000c20a00003a070000dc070000,1016,0,0,0
23,280200009e0a000043060000da0900003a0a000071060000eb020000490700002d0400006c0500008804000023000000a5040000360a000011020000e5020000170300002905000032040000b70500006c010000e70000008c08000055030000f8020000e7050000150b000038070000e00300006b000000680c00007a060000e7040000b0080000ab0b0000c005000051050000e10700007f0a00008a060000fa020000680c0000520300001c0a0000c30800009c020000b20400002303000004030000e10100006108000038090000a50600000b070000290c000077090000350600007d060000c30400000b020000470700005a0b0000380b0000350c0000,2741,0,0,1
24,d30c0000660c00005e0a00000e0700008e0c0000db060000fe08000042090000440b00006d0c00007502000098010000b1080000d8080000b107000058060000c5040000c80a0000e40b0000200000000d09000031010000ae0b000006060000cd0100000801000052020000da0b0000d0050000900b00009c0a0000aa0400008e020000f103000041080000de08000050000000ea010000b5060000a908000072040000b3020000c80b0000360a00007c0200001b040000e900000087030000940100000b080000f9010000a7050000680500004801000000070000af090000ce0a0000c9000000c9060000a30a0000c4090000c20b0000540500009f070000,2227,0,1,0
