trial,a_hex,b,m,alpha,e
0,2b04000088030000e2000000fe09000060030000d00100007b0500004b0300007501000038000000d5070000b5000000210a0000a8020000930000006a0600003e010000d90b00007c0c0000ee0500008d0b0000990b0000ab080000530c0000be010000780c000055080000b40c0000c50900000e080000ef0600009f090000,2394,1,6,1
1,dd0b00001d0c0000960100002b020000cb0800002e0b000028040000810400002e010000d8070000890a0000d5040000be000000b90900009e0b000013090000420b0000390c0000b70700009d0c00005e0300004408000047020000e9040000d5040000ad0300008c020000ed0500009802000016050000a8060000280a0000,1524,0,2,5
2,5b0a00003a0600001f040000720600005100000015000000040b0000180c000071010000dc080000d50200004a040000a4070000310c0000e0070000fb050000e30100006d000000f90b00001c0200003c040000d50a00002505000024020000c009000020060000230800008e000000640b0000a20800001903000005080000,28,0,6,4
3,130b0000030200007d060000910800005a0500005b070000b2090000980900000d0b0000c30700009507000016070000760c0000cc080000c90600007f090000ff0a00006b090000a30600006d030000fa0b0000890c0000f10400005307000015040000d50000009f0b000048010000bf060000ce000000ed00000012060000,3171,1,5,-6
4,300c0000870500002f070000b608000093060000170a00009a070000dc08000090060000890400007a040000430c0000ab0b0000a209000051020000e10300001e0c0000490b000026060000670200001e0200009f000000ef01000087000000c90500008d0b00002206000087040000c603000094050000960700008e080000,3291,1,4,-4
5,1f0b0000320100001f0a00004e050000d50c0000fc0500008e020000080000003a060000c9000000900a0000b50b00007e0c0000b900000007080000dc03000055070000cc060000e3090000a40a0000be0800004a08000042060000ee0c0000a208000081050000be060000a20c00004d090000a00300008d03000022080000,1095,1,7,-2
6,2c000000890900003b050000e6080000b50a00001d060000650b00001105000030010000aa0a00001b03000071080000c8040000bd09000038010000e3010000390b0000af050000b1050000de0c000011060000630b00003b080000b4000000f8010000660c00003907000017090000b403000037090000270b0000e9010000,1482,0,7,-4
7,93060000f5040000cc0a0000c2030000f40c0000830700001209000057020000df030000e502000028050000300b0000760b0000f50a0000fb0100006f0b0000ae080000cd08000072000000c70500005d090000730a0000d90b000085090000e0010000b7020000b40b00003e040000de040000f9050000d2030000cb010000,2468,0,6,4
8,9d020000f0060000860a00008902000053010000f00c00001505000094030000de060000270b000091090000280c0000a60a000037070000940700000f020000ea0a0000190300000005000003010000700c0000c7070000530000009d030000510500000b060000d70c000020050000620000003e0100006a0b000033070000,976,0,0,2
9,38070000ad0a0000c9060000c30c000060070000ed080000a5090000ec080000620c0000aa0500002008000079030000870100004f0b0000a202000087050000c1010000440c000064080000e503000092030000b90a000088010000e408000084050000120000002b0c000003080000800a0000880400004e000000ce070000,3170,0,3,1
10,61090000b00800004f0c00007b060000180900005e0c0000d9060000fa0700006b0b0000ea0b00009e000000cb090000c4040000090200005e070000b6080000e3030000a6070000c60b0000b104000076040000830100001e0b0000920c0000d50600003604000049060000e00a0000b80c0000d5050000d10a0000f1080000,456,0,5,-3
11,4a0c0000c50c0000ea0800002607000033060000f2050000600c0000810c0000190c000010050000e5070000bf0a000047090000f20b00000e0700000b0b0000d500000057030000cc050000cb0800009408000078010000c0000000f90a0000cf090000a00100005f030000ca080000410b00008b0200008202000076000000,1747,1,1,-2
12,6d070000c9090000a1080000110000009b090000c4070000810b00001d030000bc080000a20a0000df050000da0400002c060000bc010000c3050000dd0500001c0c0000e80100005d030000120c0000720400001b020000420700009b0300002604000050020000f90100000c0a0000910c00003d0b000048070000c50b0000,201,0,5,-3
13,99070000d90b00009608000012030000710800008c0200006d090000280a00000206000026030000830b0000260600006c000000d90000003a0b000074060000c405000025000000350800007e0400006a0c00009a0200009e0b0000180c00006e03000068040000530c0000e9000000a6060000120700007f080000940a0000,1112,0,0,-2
14,b5010000bd000000ad090000bc0300003d0700001501000072060000a4050000280900009f010000e30700005a0b000068070000f50600003a080000c6020000b10500001b06000000010000880c0000980700006b0700001d03000062020000ab0c0000660c0000d40900001b0200009b070000dc0000008803000098030000,919,1,2,3
15,ef05000087080000fe0c0000900500002105000061080000f20800000e0100003f0a0000900900009f0c0000ff0a000049040000960a000007020000200800004c08000034000000f0010000b20b0000a0010000450b0000eb060000d6010000b6080000e70b00007200000077070000e0020000eb000000610100008d010000,1097,1,6,-3
16,4a0a00005f050000b10600007f010000a90700000b00000084000000a9050000a90400009f030000d70a0000fe010000000100002e020000fd0500007c0800000e0800009401000010080000c20700006b0c000028090000970800002e0a0000fc060000dc0c0000e6040000cf020000c70a00003f0200003d00000068020000,1871,0,7,-2
17,5c020000de0000002b0b0000c40b0000a00a000044040000e10b00000c02000064070000ce0400000004000059070000990800008a0b0000140b00002c030000c1000000d30a00007c0c00000f000000d1090000430c00006b0400001f060000c7010000af000000f10b0000db070000700c0000a80a000082090000c0030000,2085,1,0,1
18,63070000780c00004d00000008070000a50c0000d70000009807000003000000e10b0000a6050000970a00001e070000d3040000ad0000003c010000b8050000530c00005a000000b50b0000ee040000c7040000b2050000c6020000ab050000f900000078080000c30200000b0800009f0500009e000000ef0100003a080000,369,1,5,2
19,cc030000860a00005c050000df04000003000000940700004c0c0000f50300001403000069030000240000003a01000081020000ac070000ba0b00008a0a0000c107000073010000b90900009b05000032020000e80400003b0000004505000022080000b9070000130700007c050000b00000001b0800000d0b0000cd0a0000,1155,1,6,-1
20,5c080000130a0000ec05000024010000de070000f90c0000f7080000a5030000df0700008f0b000009010000c50b0000df0a0000a20000009c0700001f090000e30500000c050000a1070000a20a0000400700000d040000800500000b0c00002f0700007e0a0000f50a00009b0100003a080000ed09000062050000040c0000,2113,0,2,0
21,8f05000033070000c30c0000c70a00008e0300002d040000f20b00007e080000b1020000ab0a000018090000920b00003b0900001d01000035070000420b000046070000b10200003107000008070000de000000a6070000760c00009905000037090000b7060000bf04000049000000a70c0000b20c0000bf010000d4020000,597,1,7,1
