trial,a_hex,b,m,alpha,e
0,f2010000f90300009e0600006b050000670600005d060000db060000af0100009f0a0000910600004e060000350000003c09000053020000b1070000a5020000,2833,1,6,1
1,1c0100006e000000140a0000070600009603000035030000e60c00008f0200006c020000870c0000ed0b0000350600009f07000006050000380a000027020000,2273,1,2,0
2,ad060000cd080000ff090000980a0000ed090000640a0000e90b00008b090000f604000052080000270b0000220200001e0b0000ff05000076060000700b0000,263,0,6,0
3,9e0300003807000009060000f60600005d0000001d000000cc070000dc0c0000b30c0000e70800004f080000db05000029020000870c00007600000027060000,3256,1,5,-1
4,e30c00009406000029020000a4080000f50400001d09000077060000ef010000ce070000e90a00003d0a0000b608000033060000450c00006c080000e2020000,564,0,4,0
5,ed000000b5070000860a0000080a0000b8070000d60500002108000015060000e40c0000cb01000075070000260400003b0a0000490b0000c606000018040000,666,0,7,1
6,b60a00008c07000043010000f3020000630900007a09000036050000020400000e0b0000110a0000c6010000590500008501000036000000e70000002b0c0000,3079,0,7,1
7,44060000d00b0000140b00008c050000500300006e0b0000c4070000080b0000570500003a080000610200000c0700007a040000f90a000041080000ab010000,1309,1,6,0
8,9d070000e7080000910100004a00000018020000b90200001f030000dd040000440a0000c7040000dd0000001b040000fa020000650900006b050000700c0000,439,1,0,0
9,8f070000d305000048010000310400005a0a0000f6000000460c0000bc080000750c000002010000fb0300009a04000045020000be0b000096060000a1000000,669,1,3,-1
10,9d0900003b040000520b0000b8060000bd08000068080000d0010000de020000a0000000a4040000a7000000370b000036080000d70800009a060000b2000000,2487,0,5,0
11,24050000e50400005a04000056090000880a0000580a00006b010000b2080000400a0000ee010000f4000000ca00000037080000830000002a0c0000d6030000,1393,0,1,1
12,550400003b090000800c0000440a0000cf0800003d06000035050000380000008b020000930b0000200b0000ad080000550a0000fd0300006606000041060000,481,1,5,-2
13,39000000b2090000d8080000cb0a00007f060000b709000005050000f60b00001e060000f8090000df0800002c080000b603000024030000500200003f020000,2290,0,0,1
14,e20100002f0700002c090000ef0700005701000022080000310a0000bb090000830c0000e8030000a80100006a0c0000c60000003a020000b301000091070000,985,1,2,0
15,b40100007b060000f50400007d0700009c020000dd0500009e0b0000150000001f08000086020000760500004e020000c0060000930a000082010000ea0b0000,3203,0,6,2
16,74090000be0300008a0100007d000000150200004b0900000a0500000a0700008a0a00001f03000084070000e2010000690200002b090000df09000036070000,2852,1,7,0
17,ee060000b60a0000a105000042040000ae040000290500007c06000012020000c5010000af0b0000ad090000aa040000620500007a0800007b0400009d090000,2947,0,0,0
18,060500004907000059010000f2060000880a00000c090000f809000049040000a30c0000190600009a0100008400000053040000c70c0000480100001d060000,1939,0,5,0
19,650600004b080000e00b0000ad0a0000640b0000db050000550800003f0b00008a020000a50900002603000086060000b5060000d50300008508000005010000,798,1,6,0
20,3d020000310400007d0a0000ff0c0000be070000180b0000f2000000240c00000b0100008907000025080000d5060000530400009a0a0000f005000080000000,1136,1,2,0
21,fc05000037080000b3060000c50200006d0200000a080000150c0000cb080000350700002c0500001a0a0000480500007b090000790a00003c04000071000000,88,1,7,-1
22,4204000091070000c4060000c008000065070000d7090000f8050000f4050000a40a0000b40100005a04000054040000ef03000076060000580a000064010000,1852,1,0,0
23,b70b00001e0900003b0600005a0a0000c80000006f040000e50800001c02000075050000b2010000eb030000820c000043010000a002000025040000cd090000,846,1,0,0
24,bc0600002d0c000057050000300500009708000025070000a20600003c010000d9080000cc04000009060000220a0000190b0000400900008104000077020000,3248,0,1,1
25,3d03000057040000da070000f70a0000620a00008a07000034010000e504000041090000a5010000cf0300006d080000640100003c060000d5030000c0040000,145,0,6,0
26,030400006e0000005a060000a90500003c0c0000ec0c0000a5090000e70b00000009000085080000d10500003e050000a5040000f00b0000490c00005e090000,777,0,6,0
27,3802000056070000f004000047000000d2020000e0040000f10000003f0c00003d000000a70a0000c80000007e0a00004e060000b6050000c7070000ce040000,751,0,6,0
28,a2070000760300001d010000fb0700002d0b000051030000cb070000a5040000fd0400006708000052020000a6070000fd020000550200000f0c0000ec020000,2859,1,7,0
29,8304000070080000bb040000f60900004a050000ad090000340600008d070000f70500000e060000e7010000f909000059080000d30200009b0000003c080000,899,0,3,0
30,030800005f050000250700008e06000023010000c204000051020000270c0000db0a0000630a0000a607000093060000190c0000ff06000070030000360c0000,2338,1,5,1
31,ad060000340a000039010000bc0b0000ab080000dc010000200c0000d608000054020000a80100008107000016070000da0c00007a0b0000c00000005d060000,402,0,3,1
32,4b060000cd080000e5080000ad000000eb0800007e080000e00b0000d2090000de06000000040000210800002b000000520200003c0900002406000055060000,3294,0,2,-1
33,3a0a00000a090000b40a0000600600006b0500001101000079010000bb04000011000000ba080000b20600007d0000009a020000ce00000041020000670b0000,1581,1,1,0
34,aa070000da010000c50800007f0c000021050000170c0000b304000076000000cb0100000d0200008a010000fa03000073050000fa07000014020000a70c0000,398,1,5,0
35,900800003d0c000024040000650100002b070000f6090000650900006a0a0000b00b000009070000800700008109000056040000070a0000d608000088000000,1869,0,3,2
36,ca000000410c00003c0200005e030000360300006d02000038000000eb0c0000610400008b060000d40b0000ac040000f6070000c60a000008080000830c0000,765,1,3,0
37,350b0000560c0000650900000a040000970b00004a060000130b00004a0700008d070000270900007e030000900200008b0b0000db040000c70a0000f9020000,2890,1,4,0
38,f7000000330600003a080000370c0000b5010000c70600005e0300003d010000cc090000f0070000d302000098090000380a00000c08000091010000b90a0000,1106,0,7,1
39,fc000000810b0000290b000061070000a5020000c9010000fc0700005f060000ef07000073020000e7070000b70c00001b080000940800000b090000e6040000,3262,0,3,-2
40,2604000051030000570a0000c0070000640c00008d080000f0080000230100009c020000990b00003f090000c3070000e80b0000f9090000350a0000030c0000,1666,1,6,2
41,10080000ff0c0000c709000079090000b40b000034040000aa0700003c030000f40c00002408000076040000f00b0000e8020000c9050000480400007f030000,212,1,3,-1
42,30020000510200002e010000410400000c0b0000060400002501000029010000520300008b020000d80100008a0600000b000000c20600000d0c000070040000,2571,1,7,0
43,520100002707000000000000800b0000df050000460c00002c090000e90600007a0b0000db0500002d0100007a060000d100000066070000c00300002f0c0000,1530,0,4,1
44,3504000038040000a4000000ba0b00005c020000e404000011080000f8030000f6020000ee0b000051010000970900005a0500008f03000055010000930a0000,3092,1,0,0
45,9d0000006d05000042050000be060000d0050000900b000057010000a10b0000980300007b04000098020000cc0800001301000012040000b80000004f0c0000,660,1,2,1
46,f206000098000000350c00004d090000e4030000660b0000540500008f0a000001040000790300006c070000b90c00000e050000b70400008107000066000000,1110,1,3,1
