transform,n,q,sigma,trials,honest_dsr,attacker_success_regression,bkw_score,linearization_dim,time_s,source_file,source_folder
cubic,16,3329,1.0,200,0.87,0.465,0.5625,48,0.0065107345581054,results_example\cubic_n16_s1p0_run1\summary_cubic_n16.csv,cubic_n16_s1p0_run1
cubic,16,3329,1.0,200,0.84,0.53,0.5,48,0.0058324337005615,results_example\cubic_n16_s1p0_run2\summary_cubic_n16.csv,cubic_n16_s1p0_run2
cubic,16,3329,1.0,200,0.85,0.49,0.625,48,0.0065107345581054,results_example\cubic_n16_s1p0_run3\summary_cubic_n16.csv,cubic_n16_s1p0_run3
cubic,16,3329,2.0,200,0.84,0.565,0.5,48,0.0045068264007568,results_example\cubic_n16_s2p0_run1\summary_cubic_n16.csv,cubic_n16_s2p0_run1
cubic,16,3329,2.0,200,0.83,0.52,0.5625,48,0.0060226917266845,results_example\cubic_n16_s2p0_run2\summary_cubic_n16.csv,cubic_n16_s2p0_run2
cubic,16,3329,2.0,200,0.83,0.5,0.6875,48,0.0075263977050781,results_example\cubic_n16_s2p0_run3\summary_cubic_n16.csv,cubic_n16_s2p0_run3
cubic,16,3329,3.0,200,0.775,0.47,0.75,48,0.0045087337493896,results_example\cubic_n16_s3p0_run1\summary_cubic_n16.csv,cubic_n16_s3p0_run1
cubic,16,3329,3.0,200,0.77,0.47,0.5625,48,0.0085108280181884,results_example\cubic_n16_s3p0_run2\summary_cubic_n16.csv,cubic_n16_s3p0_run2
cubic,16,3329,3.0,200,0.78,0.51,0.5625,48,0.0048868656158447,results_example\cubic_n16_s3p0_run3\summary_cubic_n16.csv,cubic_n16_s3p0_run3
cubic,32,3329,1.0,200,0.875,0.46,0.5625,96,0.0070118904113769,results_example\cubic_n32_s1p0_run1\summary_cubic_n32.csv,cubic_n32_s1p0_run1
cubic,32,3329,1.0,200,0.87,0.475,0.5,96,0.0045068264007568,results_example\cubic_n32_s1p0_run2\summary_cubic_n32.csv,cubic_n32_s1p0_run2
cubic,32,3329,1.0,200,0.905,0.475,0.5625,96,0.0050041675567626,results_example\cubic_n32_s1p0_run3\summary_cubic_n32.csv,cubic_n32_s1p0_run3
cubic,32,3329,2.0,200,0.775,0.485,0.5,96,0.0062363147735595,results_example\cubic_n32_s2p0_run1\summary_cubic_n32.csv,cubic_n32_s2p0_run1
cubic,32,3329,2.0,200,0.785,0.5,0.625,96,0.006016731262207,results_example\cubic_n32_s2p0_run2\summary_cubic_n32.csv,cubic_n32_s2p0_run2
cubic,32,3329,2.0,200,0.815,0.535,0.75,96,0.0060117244720458,results_example\cubic_n32_s2p0_run3\summary_cubic_n32.csv,cubic_n32_s2p0_run3
cubic,32,3329,3.0,200,0.795,0.435,0.5,96,0.0055041313171386,results_example\cubic_n32_s3p0_run1\summary_cubic_n32.csv,cubic_n32_s3p0_run1
cubic,32,3329,3.0,200,0.78,0.5,0.625,96,0.0060093402862548,results_example\cubic_n32_s3p0_run2\summary_cubic_n32.csv,cubic_n32_s3p0_run2
cubic,32,3329,3.0,200,0.75,0.495,0.625,96,0.0058155059814453,results_example\cubic_n32_s3p0_run3\summary_cubic_n32.csv,cubic_n32_s3p0_run3
cubic,64,3329,1.0,200,0.875,0.53,0.625,192,0.0065042972564697,results_example\cubic_n64_s1p0_run1\summary_cubic_n64.csv,cubic_n64_s1p0_run1
cubic,64,3329,1.0,200,0.86,0.525,0.5,192,0.0065062046051025,results_example\cubic_n64_s1p0_run2\summary_cubic_n64.csv,cubic_n64_s1p0_run2
cubic,64,3329,1.0,200,0.89,0.48,0.5625,192,0.0070140361785888,results_example\cubic_n64_s1p0_run3\summary_cubic_n64.csv,cubic_n64_s1p0_run3
cubic,64,3329,2.0,200,0.815,0.495,0.6875,192,0.0060040950775146,results_example\cubic_n64_s2p0_run1\summary_cubic_n64.csv,cubic_n64_s2p0_run1
cubic,64,3329,2.0,200,0.77,0.485,0.5625,192,0.0060033798217773,results_example\cubic_n64_s2p0_run2\summary_cubic_n64.csv,cubic_n64_s2p0_run2
cubic,64,3329,2.0,200,0.79,0.5,0.625,192,0.006005048751831,results_example\cubic_n64_s2p0_run3\summary_cubic_n64.csv,cubic_n64_s2p0_run3
cubic,64,3329,3.0,200,0.79,0.505,0.75,192,0.0060131549835205,results_example\cubic_n64_s3p0_run1\summary_cubic_n64.csv,cubic_n64_s3p0_run1
cubic,64,3329,3.0,200,0.75,0.485,0.625,192,0.0065083503723144,results_example\cubic_n64_s3p0_run2\summary_cubic_n64.csv,cubic_n64_s3p0_run2
cubic,64,3329,3.0,200,0.79,0.525,0.6875,192,0.0085220336914062,results_example\cubic_n64_s3p0_run3\summary_cubic_n64.csv,cubic_n64_s3p0_run3
eo_lwe,16,3329,1.0,200,0.86,0.475,0.5625,64,0.0050041675567626,results_example\eo_lwe_n16_s1p0_run1\summary_eo_lwe_n16.csv,eo_lwe_n16_s1p0_run1
eo_lwe,16,3329,1.0,200,0.835,0.54,0.5,64,0.0039999485015869,results_example\eo_lwe_n16_s1p0_run2\summary_eo_lwe_n16.csv,eo_lwe_n16_s1p0_run2
eo_lwe,16,3329,1.0,200,0.88,0.485,0.625,64,0.0045075416564941,results_example\eo_lwe_n16_s1p0_run3\summary_eo_lwe_n16.csv,eo_lwe_n16_s1p0_run3
eo_lwe,16,3329,2.0,200,0.78,0.55,0.8125,64,0.0060102939605712,results_example\eo_lwe_n16_s2p0_run1\summary_eo_lwe_n16.csv,eo_lwe_n16_s2p0_run1
eo_lwe,16,3329,2.0,200,0.78,0.5,0.6875,64,0.0060102939605712,results_example\eo_lwe_n16_s2p0_run2\summary_eo_lwe_n16.csv,eo_lwe_n16_s2p0_run2
eo_lwe,16,3329,2.0,200,0.78,0.515,0.5625,64,0.0050075054168701,results_example\eo_lwe_n16_s2p0_run3\summary_eo_lwe_n16.csv,eo_lwe_n16_s2p0_run3
eo_lwe,16,3329,3.0,200,0.735,0.53,0.625,64,0.0055091381072998,results_example\eo_lwe_n16_s3p0_run1\summary_eo_lwe_n16.csv,eo_lwe_n16_s3p0_run1
eo_lwe,16,3329,3.0,200,0.8,0.46,0.5625,64,0.0075151920318603,results_example\eo_lwe_n16_s3p0_run2\summary_eo_lwe_n16.csv,eo_lwe_n16_s3p0_run2
eo_lwe,16,3329,3.0,200,0.805,0.54,0.6875,64,0.0055110454559326,results_example\eo_lwe_n16_s3p0_run3\summary_eo_lwe_n16.csv,eo_lwe_n16_s3p0_run3
eo_lwe,32,3329,1.0,200,0.855,0.555,0.5625,128,0.0045082569122314,results_example\eo_lwe_n32_s1p0_run1\summary_eo_lwe_n32.csv,eo_lwe_n32_s1p0_run1
eo_lwe,32,3329,1.0,200,0.86,0.495,0.6875,128,0.0050070285797119,results_example\eo_lwe_n32_s1p0_run2\summary_eo_lwe_n32.csv,eo_lwe_n32_s1p0_run2
eo_lwe,32,3329,1.0,200,0.855,0.505,0.625,128,0.0070161819458007,results_example\eo_lwe_n32_s1p0_run3\summary_eo_lwe_n32.csv,eo_lwe_n32_s1p0_run3
eo_lwe,32,3329,2.0,200,0.8,0.435,0.5,128,0.0055058002471923,results_example\eo_lwe_n32_s2p0_run1\summary_eo_lwe_n32.csv,eo_lwe_n32_s2p0_run1
eo_lwe,32,3329,2.0,200,0.78,0.5,0.5,128,0.0052034854888916,results_example\eo_lwe_n32_s2p0_run2\summary_eo_lwe_n32.csv,eo_lwe_n32_s2p0_run2
eo_lwe,32,3329,2.0,200,0.79,0.52,0.6875,128,0.0060110092163085,results_example\eo_lwe_n32_s2p0_run3\summary_eo_lwe_n32.csv,eo_lwe_n32_s2p0_run3
eo_lwe,32,3329,3.0,200,0.785,0.555,0.75,128,0.007012128829956,results_example\eo_lwe_n32_s3p0_run1\summary_eo_lwe_n32.csv,eo_lwe_n32_s3p0_run1
eo_lwe,32,3329,3.0,200,0.77,0.52,0.5625,128,0.0050055980682373,results_example\eo_lwe_n32_s3p0_run2\summary_eo_lwe_n32.csv,eo_lwe_n32_s3p0_run2
eo_lwe,32,3329,3.0,200,0.81,0.5,0.6875,128,0.0065066814422607,results_example\eo_lwe_n32_s3p0_run3\summary_eo_lwe_n32.csv,eo_lwe_n32_s3p0_run3
eo_lwe,64,3329,1.0,200,0.845,0.475,0.5625,256,0.008009910583496,results_example\eo_lwe_n64_s1p0_run1\summary_eo_lwe_n64.csv,eo_lwe_n64_s1p0_run1
eo_lwe,64,3329,1.0,200,0.81,0.4,0.625,256,0.0065066814422607,results_example\eo_lwe_n64_s1p0_run2\summary_eo_lwe_n64.csv,eo_lwe_n64_s1p0_run2
eo_lwe,64,3329,1.0,200,0.815,0.46,0.5625,256,0.0075061321258544,results_example\eo_lwe_n64_s1p0_run3\summary_eo_lwe_n64.csv,eo_lwe_n64_s1p0_run3
eo_lwe,64,3329,2.0,200,0.82,0.53,0.5,256,0.0060055255889892,results_example\eo_lwe_n64_s2p0_run1\summary_eo_lwe_n64.csv,eo_lwe_n64_s2p0_run1
eo_lwe,64,3329,2.0,200,0.79,0.48,0.8125,256,0.0068433284759521,results_example\eo_lwe_n64_s2p0_run2\summary_eo_lwe_n64.csv,eo_lwe_n64_s2p0_run2
eo_lwe,64,3329,2.0,200,0.73,0.465,0.5625,256,0.0070228576660156,results_example\eo_lwe_n64_s2p0_run3\summary_eo_lwe_n64.csv,eo_lwe_n64_s2p0_run3
eo_lwe,64,3329,3.0,200,0.795,0.515,0.5,256,0.0080130100250244,results_example\eo_lwe_n64_s3p0_run1\summary_eo_lwe_n64.csv,eo_lwe_n64_s3p0_run1
eo_lwe,64,3329,3.0,200,0.78,0.46,0.625,256,0.006528615951538,results_example\eo_lwe_n64_s3p0_run2\summary_eo_lwe_n64.csv,eo_lwe_n64_s3p0_run2
eo_lwe,64,3329,3.0,200,0.8,0.445,0.6875,256,0.0060112476348876,results_example\eo_lwe_n64_s3p0_run3\summary_eo_lwe_n64.csv,eo_lwe_n64_s3p0_run3
quadratic,16,3329,1.0,200,0.85,0.475,0.6875,152,0.0050041675567626,results_example\quadratic_n16_s1p0_run1\summary_quadratic_n16.csv,quadratic_n16_s1p0_run1
quadratic,16,3329,1.0,200,0.845,0.45,0.625,152,0.006009817123413,results_example\quadratic_n16_s1p0_run2\summary_quadratic_n16.csv,quadratic_n16_s1p0_run2
quadratic,16,3329,1.0,200,0.86,0.525,0.5,152,0.0060017108917236,results_example\quadratic_n16_s1p0_run3\summary_quadratic_n16.csv,quadratic_n16_s1p0_run3
quadratic,16,3329,2.0,200,0.78,0.435,0.5,152,0.005568504333496,results_example\quadratic_n16_s2p0_run1\summary_quadratic_n16.csv,quadratic_n16_s2p0_run1
quadratic,16,3329,2.0,200,0.78,0.505,0.6875,152,0.0050134658813476,results_example\quadratic_n16_s2p0_run2\summary_quadratic_n16.csv,quadratic_n16_s2p0_run2
quadratic,16,3329,2.0,200,0.845,0.49,0.5,152,0.0060184001922607,results_example\quadratic_n16_s2p0_run3\summary_quadratic_n16.csv,quadratic_n16_s2p0_run3
quadratic,16,3329,3.0,200,0.79,0.495,0.625,152,0.0065011978149414,results_example\quadratic_n16_s3p0_run1\summary_quadratic_n16.csv,quadratic_n16_s3p0_run1
quadratic,16,3329,3.0,200,0.81,0.455,0.5,152,0.006507396697998,results_example\quadratic_n16_s3p0_run2\summary_quadratic_n16.csv,quadratic_n16_s3p0_run2
quadratic,16,3329,3.0,200,0.775,0.46,0.5625,152,0.0075080394744873,results_example\quadratic_n16_s3p0_run3\summary_quadratic_n16.csv,quadratic_n16_s3p0_run3
quadratic,32,3329,1.0,200,0.83,0.48,0.5625,560,0.0080204010009765,results_example\quadratic_n32_s1p0_run1\summary_quadratic_n32.csv,quadratic_n32_s1p0_run1
quadratic,32,3329,1.0,200,0.885,0.515,0.5625,560,0.0065040588378906,results_example\quadratic_n32_s1p0_run2\summary_quadratic_n32.csv,quadratic_n32_s1p0_run2
quadratic,32,3329,1.0,200,0.845,0.515,0.5625,560,0.0055060386657714,results_example\quadratic_n32_s1p0_run3\summary_quadratic_n32.csv,quadratic_n32_s1p0_run3
quadratic,32,3329,2.0,200,0.79,0.48,0.625,560,0.0060138702392578,results_example\quadratic_n32_s2p0_run1\summary_quadratic_n32.csv,quadratic_n32_s2p0_run1
quadratic,32,3329,2.0,200,0.81,0.52,0.625,560,0.0070085525512695,results_example\quadratic_n32_s2p0_run2\summary_quadratic_n32.csv,quadratic_n32_s2p0_run2
quadratic,32,3329,2.0,200,0.75,0.515,0.625,560,0.005507469177246,results_example\quadratic_n32_s2p0_run3\summary_quadratic_n32.csv,quadratic_n32_s2p0_run3
quadratic,32,3329,3.0,200,0.74,0.505,0.75,560,0.0060043334960937,results_example\quadratic_n32_s3p0_run1\summary_quadratic_n32.csv,quadratic_n32_s3p0_run1
quadratic,32,3329,3.0,200,0.775,0.495,0.5625,560,0.0070142745971679,results_example\quadratic_n32_s3p0_run2\summary_quadratic_n32.csv,quadratic_n32_s3p0_run2
quadratic,32,3329,3.0,200,0.745,0.42,0.5625,560,0.0075175762176513,results_example\quadratic_n32_s3p0_run3\summary_quadratic_n32.csv,quadratic_n32_s3p0_run3
quadratic,64,3329,1.0,200,0.78,0.47,0.625,2144,0.0055100917816162,results_example\quadratic_n64_s1p0_run1\summary_quadratic_n64.csv,quadratic_n64_s1p0_run1
quadratic,64,3329,1.0,200,0.825,0.52,0.6875,2144,0.0055084228515625,results_example\quadratic_n64_s1p0_run2\summary_quadratic_n64.csv,quadratic_n64_s1p0_run2
quadratic,64,3329,1.0,200,0.865,0.58,0.75,2144,0.0058190822601318,results_example\quadratic_n64_s1p0_run3\summary_quadratic_n64.csv,quadratic_n64_s1p0_run3
quadratic,64,3329,2.0,200,0.81,0.51,0.625,2144,0.0075085163116455,results_example\quadratic_n64_s2p0_run1\summary_quadratic_n64.csv,quadratic_n64_s2p0_run1
quadratic,64,3329,2.0,200,0.845,0.515,0.5,2144,0.0065021514892578,results_example\quadratic_n64_s2p0_run2\summary_quadratic_n64.csv,quadratic_n64_s2p0_run2
quadratic,64,3329,2.0,200,0.83,0.45,0.5,2144,0.0070133209228515,results_example\quadratic_n64_s2p0_run3\summary_quadratic_n64.csv,quadratic_n64_s2p0_run3
