trial,a_hex,b,m,alpha,e
0,e200000043030000520200003e0700005e040000a10c0000750700001b060000fd0500004b020000520a00001007000053010000600800003001000027040000,1064,1,6,3
1,440a0000d50b00001b060000230a00006f040000b7090000e9090000070a0000bc04000099050000fe030000f9080000210500008d0b0000f10a00005d040000,904,1,2,0
2,cf020000a100000057020000f5040000d10b0000ac070000e5050000ab0200005201000045090000eb040000cd0a000059060000010700000a01000058030000,2076,0,6,0
3,d7000000cd0500007106000011010000ef07000036050000940400009a020000d0080000d2070000730c0000be04000082000000cd06000016030000370a0000,1866,1,5,-1
4,5d060000dd090000fd0b00009b010000780300009b0400000d040000fd0000006f010000df02000077020000930000005b020000940600009a040000bb080000,861,0,4,0
5,cd0900003c0c00002e0c00009603000080090000d80a0000dc030000fc070000320200007501000063090000da00000033010000080700009e060000c8030000,717,0,7,1
6,db0a00007f03000074050000c40400007f0100006f0300008e080000f5050000a40800000a0600004a0c0000090b000033000000710000002b0500009d030000,776,1,7,0
7,8a040000690000007a00000066010000cb000000620c0000a4080000b20500008e04000001030000750c000029080000330b0000f8020000040900000b0c0000,2197,1,6,-1
8,37000000c503000091020000f5040000030000009a000000540400001706000063070000fa060000e00c0000dd020000d1060000fe040000fd0b00006e040000,398,1,0,1
9,dc01000081020000e9040000ef0200005507000070080000b00200001e0c0000480c0000000000008d080000ff0c000049030000a9030000f5010000a7080000,1721,1,3,-2
10,520a0000da070000260b00000b020000ed060000090c0000e409000018060000ee040000b80600007e0a00009c09000005050000590b0000670b0000c10a0000,1640,0,5,-1
11,ec01000056000000de0b00005b0500006a080000730a0000180600005b070000f2090000070c0000d8060000f9060000680b00000e050000b50400002d030000,1091,0,1,0
12,fd010000ea060000c80b000062000000d1030000fe0300000f050000b4020000a801000075060000270b00004a0a00006b0400006d0300005e090000690b0000,1371,0,5,0
13,1a0800007c07000084020000250c0000e20c000007040000e5020000e809000059080000120300009c0b00008d0800003f090000b80300006103000069060000,1953,0,0,0
14,6c0700009a0c00009d06000012050000900300001d070000b0050000a40700008f080000a10b00007d0b0000bb040000fc0300000201000055010000dc090000,1730,1,2,0
15,84080000b20a00007c0c0000e40600003e000000760400005a020000630400005e0900001d050000d407000006070000160800008f0c00008d010000d90b0000,266,0,6,-1
16,a5070000b1070000b903000035030000e30700009e0c0000430200001b030000b90600007a020000bd05000022040000ea00000084020000e90a000049000000,492,0,7,2
17,d3070000470c000039010000260800005604000074010000fd0a00007d0300005706000059020000af0200006c070000aa010000dd0b0000f00c000048020000,2587,0,0,1
18,9308000012080000b003000081000000730c00007a09000045000000eb010000d30c0000b3040000270200000a060000a10600005b0000003401000019010000,949,1,5,-1
19,1e0500008d0100001f060000fb00000054000000650200009b0700005f0c000026010000c4040000fd0400002a02000094050000090b00002f0100000c020000,243,0,6,1
20,df020000860100005508000098030000b7020000b30900004106000034050000fe0500001e070000620c0000000900007b0200002a0400000a07000065020000,67,0,2,0
21,700a0000de020000d60700004b0100002d080000870400001e010000a40a00006d040000f10a0000480200003f010000fb07000068010000170400000b0b0000,936,0,7,0
22,bc070000ca090000cd0c00004e070000e9070000e8010000310c000092080000990900007f00000088020000390b00004f05000099020000110b00004a000000,926,0,0,1
23,d30c0000f103000064000000bf0100001208000033050000920b0000060b000010050000d50200001a080000c108000056030000450a0000c70a0000470a0000,3151,0,0,0
24,06040000ff000000420b0000fe070000de0600004001000049010000db090000f308000054000000e4040000d60800005f050000e80b00008408000032030000,1304,0,1,0
25,9b04000020050000f40600003c060000a308000092060000c4010000b9090000f60700004d090000cf0c0000390100004e020000d701000011090000c2020000,2919,0,6,1
