trial,a_hex,b,m,alpha,e
0,8e0500006c05000054040000980400009a0b0000e2080000070b0000e20b00005a050000c40a00004d0a00005d090000e10c000074050000fd0800001a070000920c0000b10c0000a2090000a30b0000620b0000b5010000210100009b0700006907000003020000c7070000780700008e0b0000f8070000c5050000bf0a0000910b000032030000aa0a000008000000780b00000a0c0000e0020000bc0400005800000095010000c40b0000640b0000e707000027080000950b0000710000008e0500007909000096010000350a0000f7040000390100006703000087000000650c0000da050000570a0000950800005b00000088060000f8050000d6080000,2895,0,6,2
1,740300007f070000750c0000050b0000d0020000000d0000860100009d010000300c0000ce0900003f030000490b0000c206000020060000e4020000e60b000066010000170c000081070000d5050000e1070000ab0000008e0b000061070000980a0000610400008700000024070000c1080000bf030000f402000038070000d90a000052050000010a000069080000c4000000210000005e0a00009002000084020000fe0300003d0c000048060000990900008b030000b306000020050000e50700004f0400009a0400005307000059000000ca04000028050000da020000100c0000ab000000c70c00009a0400006f0a0000580200007b0c0000b8040000,344,1,2,-3
2,75030000800900000d050000a10500004404000034060000fc0800002a010000680400005b020000800b0000b5060000a8040000f70b00000c07000094010000f6040000930c00009802000001020000e90a000062050000bb0b00001902000093040000e20500009a0a00008109000034050000910700008a0000009208000024040000c7010000df040000f4020000620c0000f2090000df030000e00500009c02000061020000d5070000c80a00005b090000b6050000100100005a00000054060000b70a0000a3040000400c0000a1050000cf050000c30b000018090000460700001b08000063060000e1040000d6070000f80900000301000092090000,1696,0,6,-3
3,fc0800005f0100008a000000fd0300002c01000066080000d6060000170b0000d6020000b402000050090000fe0b0000cb01000038030000e300000098060000ef040000f90c00006f080000da0400008b0b0000120a0000de080000760a000023010000cf0600008d0400001f010000d1000000d1080000db02000045030000be0b00000a070000d30400000d0000000e000000ce00000078060000cd000000e402000074050000420200000d090000ca070000aa050000fd080000980a0000b5040000d909000017000000610a000015010000be090000390a000093080000fe020000e9000000e8060000c30500006e070000dd0000006b04000010090000,956,1,5,-4
4,c206000050010000ef010000ac020000830600008f080000ac020000c0090000a40100008d0500005d0b0000ef090000350300006b050000f5030000c1060000f90b0000550a0000080600005d0a00001504000045080000f20b0000c0080000e1030000c508000039020000b90000004b010000390300004a060000040000009e0100007e020000bb040000090b00005d080000aa0300009501000027090000e40600004d050000650b00005f09000003010000420c00007006000088020000c7090000a8020000520b00007e090000bc0b0000ce0000006e0b0000810800002c0900006e060000b10c00007b0c0000d7020000a50000008203000028060000,49,0,4,1
5,c60000001c0600007d0000002408000000040000000c0000730500006d0a0000e0050000b70c00004b050000fa0c00009d0b000025020000f1000000b20400003d010000170b0000360c0000e1020000a1050000db070000b00a0000ba0a0000dc0b0000ab0c0000e40a00003c0c00009b090000f20700001a060000710c00008c0c0000bf04000034030000f4010000100c00004f0b0000c90b0000aa0200003b0300001b03000031070000ff0b0000aa0c0000ff06000089000000a602000098020000a3090000ee070000e9080000460c0000ea0800004b070000a40b0000ba0600008b080000ef070000a30a0000c8000000f5080000e5040000fe0c0000,1901,0,7,4
6,40070000fc0c00003e0000001e0b000092050000e10500004c0b0000b1070000fb0100007e050000d509000070070000b20500001807000005020000d1010000c40c00004f050000380500004d030000400a00002d0400008b000000720300008a0300005a0700002f07000036040000650100001005000090020000b4010000110b0000670a0000830a0000c0040000410a0000ae0100002a0b0000f90900008b040000bd050000580800000303000077010000340b0000ec010000510c0000bb090000640b0000fd01000004080000ae0400001f06000046040000fa030000a7020000a802000094020000b3070000840b00000a0900001f0100002a040000,2140,1,7,2
7,b306000037050000c609000074090000c10600005f0100001e0a0000a806000048080000b90b000041030000670c0000020b00004b0300004f070000090300002307000002070000320c000089080000a8020000eb0b0000f201000075050000840000006c0c0000be0c0000df0400005a0c0000ad0c000048070000f0020000ac030000df010000c5050000b604000052040000220a000042050000f3020000e20200005c0800006c010000f90b0000a9070000870000009a000000fc0800005606000091080000b20300001e030000d1060000a3050000a5050000a9020000640700004e0c00006b090000e5090000a50100008f05000037040000890c0000,3005,1,6,-1
8,380900008f080000ab070000d8020000d001000006040000210300001e0200000e010000d3080000570500007c070000ce0c0000ba0b00004505000017020000b2050000a902000068020000e5050000470700005f0500000c0400000a0000007a09000050030000230b0000a308000027050000fc020000470200006f0800001a09000034010000b601000010090000b40a0000590600004f070000900500001f020000a5050000ca00000046040000a9000000f001000073060000630400004f010000130200009b010000b2030000360b00007f0b0000d0010000ad0a0000d40c00000a000000fc0300008e0a00001f010000ee0900005602000012040000,676,1,0,8
9,5c0b0000f10100007d0900001d0b0000d7050000b30b0000cf0700000b0a00008d02000078020000290a0000fa020000000200001f090000fa0200003a0800009b090000920800002f07000053010000cc0a00000f040000340800001a07000008010000ca0b00002407000039020000ed00000082000000e406000096090000e2090000850c000073080000180c00009808000014060000d60600004d020000810900003d040000ef070000850c000004050000820900009f0b0000db04000062090000da05000094020000fb0c0000000d0000cb0a00006b0b00000500000036030000e10800006c0c0000600600003a0b0000190900000c0a000081020000,2590,1,3,0
