transform,n,sigma,honest_mean,honest_std,attacker_mean,attacker_std,bkw_mean,bkw_std,lin_dim,time_mean,time_std,runs
cubic,16,1.0,0.8533333333333334,0.015275252316519477,0.49500000000000005,0.032787192621509996,0.5625,0.0625,48.0,0.0062846342722574335,0.0003916171826945248,3
cubic,16,2.0,0.8333333333333334,0.0057735026918962545,0.5283333333333333,0.033291640592396934,0.5833333333333334,0.09547032697824666,48.0,0.0060186386108397995,0.0015097897324731005,3
cubic,16,3.0,0.775,0.0050000000000000044,0.48333333333333334,0.023094010767585042,0.625,0.10825317547305482,48.0,0.005968809127807566,0.002209556733011614,3
cubic,32,1.0,0.8833333333333333,0.018929694486000886,0.47,0.008660254037844338,0.5416666666666666,0.036084391824351615,96.0,0.0055076281229654335,0.0013262506665849307,3
cubic,32,2.0,0.7916666666666666,0.0208166599946613,0.5066666666666667,0.025658007197234427,0.625,0.125,96.0,0.006088256835937433,0.00012824637092956855,3
cubic,32,3.0,0.775,0.022912878474779245,0.47666666666666674,0.036170890690351155,0.5833333333333334,0.07216878364870322,96.0,0.0057763258616129005,0.00025487317819147706,3
cubic,64,1.0,0.875,0.015000000000000013,0.5116666666666667,0.02753785273643057,0.5625,0.0625,192.0,0.006674846013387001,0.000293748847864839,3
cubic,64,2.0,0.7916666666666666,0.022546248764114433,0.49333333333333335,0.007637626158259734,0.625,0.0625,192.0,0.0060041745503743,8.372985325480921e-07,3
cubic,64,3.0,0.7766666666666667,0.023094010767585042,0.505,0.020000000000000018,0.6875,0.0625,192.0,0.007014513015747033,0.0013288222450446817,3
eo_lwe,16,1.0,0.8583333333333334,0.022546248764114506,0.5,0.03500000000000001,0.5625,0.0625,64.0,0.004503885904947867,0.0005021195087666078,3
eo_lwe,16,2.0,0.7799999999999999,0.0,0.5216666666666666,0.025658007197234448,0.6875,0.125,64.0,0.005676031112670833,0.000578960235646103,3
eo_lwe,16,3.0,0.7799999999999999,0.03905124837953328,0.51,0.04358898943540674,0.625,0.0625,64.0,0.006178458531697567,0.001157645562051566,3
eo_lwe,32,1.0,0.8566666666666666,0.0028867513459481316,0.5183333333333334,0.03214550253664321,0.625,0.0625,128.0,0.005510489145914667,0.0013276017474347496,3
eo_lwe,32,2.0,0.79,0.010000000000000009,0.48500000000000004,0.04444097208657793,0.5625,0.10825317547305482,128.0,0.005573431650797467,0.00040798792586365165,3
eo_lwe,32,3.0,0.7883333333333334,0.020207259421636887,0.525,0.027838821814150164,0.6666666666666666,0.09547032697824667,128.0,0.006174802780151333,0.001043623020636994,3
eo_lwe,64,1.0,0.8233333333333333,0.018929694486000896,0.445,0.039686269665968846,0.5833333333333334,0.036084391824351615,256.0,0.007340908050537033,0.0007651135269116042,3
eo_lwe,64,2.0,0.7799999999999999,0.04582575694955834,0.4916666666666667,0.03403429642777024,0.625,0.16535945694153692,256.0,0.0066239039103189665,0.0005430022962558994,3
eo_lwe,64,3.0,0.7916666666666666,0.01040832999733067,0.47333333333333333,0.03685557397916,0.6041666666666666,0.09547032697824667,256.0,0.006850957870483333,0.0010390819992539416,3
quadratic,16,1.0,0.8516666666666666,0.007637626158259777,0.48333333333333334,0.03818813079129867,0.6041666666666666,0.09547032697824666,152.0,0.0056718985239664,0.0005782861844884779,3
quadratic,16,2.0,0.8016666666666667,0.037527767497325656,0.47666666666666674,0.03685557397915999,0.5625,0.10825317547305482,152.0,0.005533456802368099,0.000503383044401793,3
quadratic,16,3.0,0.7916666666666666,0.01755942292142126,0.47000000000000003,0.021794494717703332,0.5625,0.0625,152.0,0.006838877995808901,0.0005795191281986162,3
quadratic,32,1.0,0.8533333333333334,0.02843120351538668,0.5033333333333333,0.02020725942163693,0.5625,0.0,560.0,0.0066768328348794995,0.0012660539596325078,3
quadratic,32,2.0,0.7833333333333333,0.030550504633038947,0.505,0.021794494717703387,0.625,0.0,560.0,0.006176630655924433,0.000763662909186747,3
quadratic,32,3.0,0.7533333333333333,0.01892969448600092,0.47333333333333333,0.04645786621588786,0.625,0.10825317547305482,560.0,0.0068453947703043,0.0007706271345650065,3
quadratic,64,1.0,0.8233333333333333,0.04252450274057688,0.5233333333333333,0.05507570547286101,0.6875,0.0625,2144.0,0.005612532297770166,0.00017887946093829546,3
quadratic,64,2.0,0.8283333333333333,0.017559422921421187,0.4916666666666667,0.03617089069035115,0.5416666666666666,0.07216878364870322,2144.0,0.0070079962412516,0.0005032035404391166,3
quadratic,64,3.0,0.7733333333333333,0.06370504951205466,0.48833333333333334,0.0553022000767902,0.5625,0.0,2144.0,0.0053375562032063,0.00029223469454691303,3
