n,sigma,metric,transform_a,transform_b,t_stat,p_value,mean_a,mean_b,count_a,count_b
16,1.0,attacker_success_regression,cubic,eo_lwe,-0.18057877962865188,0.8655136855802287,0.49500000000000005,0.5,3,3
16,1.0,attacker_success_regression,cubic,quadratic,0.40147753427348276,0.709038283624514,0.49500000000000005,0.4833333333333334,3,3
16,1.0,attacker_success_regression,eo_lwe,quadratic,0.5572782125753505,0.6072602607345734,0.5,0.4833333333333334,3,3
16,2.0,attacker_success_regression,cubic,eo_lwe,0.2747211278973799,0.7979717941550358,0.5283333333333333,0.5216666666666666,3,3
16,2.0,attacker_success_regression,cubic,quadratic,1.8018384005292005,0.14666163987995798,0.5283333333333333,0.4766666666666666,3,3
16,2.0,attacker_success_regression,eo_lwe,quadratic,1.7356257356397065,0.1662106146070762,0.5216666666666666,0.4766666666666666,3,3
16,3.0,attacker_success_regression,cubic,eo_lwe,-0.9363291775690444,0.41733476190592594,0.48333333333333334,0.51,3,3
16,3.0,attacker_success_regression,cubic,quadratic,0.7272727272727287,0.5074678430157515,0.48333333333333334,0.47,3,3
16,3.0,attacker_success_regression,eo_lwe,quadratic,1.4216373066218229,0.25197548900986616,0.51,0.47,3,3
32,1.0,attacker_success_regression,cubic,eo_lwe,-2.5146189116199498,0.11267228682072092,0.47000000000000003,0.5183333333333334,3,3
32,1.0,attacker_success_regression,cubic,quadratic,-2.6261286571944455,0.08732840376921164,0.47000000000000003,0.5033333333333333,3,3
32,1.0,attacker_success_regression,eo_lwe,quadratic,0.6842573291427401,0.5379651597940011,0.5183333333333334,0.5033333333333333,3,3
32,2.0,attacker_success_regression,cubic,eo_lwe,0.7313071356019153,0.5144866674870435,0.5066666666666667,0.48500000000000004,3,3
32,2.0,attacker_success_regression,cubic,quadratic,0.08574929257125632,0.9358887892461591,0.5066666666666667,0.505,3,3
32,2.0,attacker_success_regression,eo_lwe,quadratic,-0.6998542122237636,0.5358413158281626,0.48500000000000004,0.505,3,3
32,3.0,attacker_success_regression,cubic,eo_lwe,-1.8341210428976578,0.14523013355213776,0.47666666666666674,0.525,3,3
32,3.0,attacker_success_regression,cubic,quadratic,0.09805806756909427,0.9268722757140465,0.47666666666666674,0.47333333333333333,3,3
32,3.0,attacker_success_regression,eo_lwe,quadratic,1.6523055517559813,0.1894297770711596,0.525,0.47333333333333333,3,3
64,1.0,attacker_success_regression,cubic,eo_lwe,2.390457218668789,0.08303931039231163,0.5116666666666667,0.445,3,3
64,1.0,attacker_success_regression,cubic,quadratic,-0.328165061656945,0.7647569375911835,0.5116666666666667,0.5233333333333333,3,3
64,1.0,attacker_success_regression,eo_lwe,quadratic,-1.9986433011440425,0.12333408600384643,0.445,0.5233333333333333,3,3
64,2.0,attacker_success_regression,cubic,eo_lwe,0.08276058886023592,0.9409624979749437,0.49333333333333335,0.4916666666666667,3,3
64,2.0,attacker_success_regression,cubic,quadratic,0.07808688094430484,0.944348035501176,0.49333333333333335,0.49166666666666664,3,3
64,2.0,attacker_success_regression,eo_lwe,quadratic,1.9359120763754334e-15,0.9999999999999986,0.4916666666666667,0.49166666666666664,3,3
64,3.0,attacker_success_regression,cubic,eo_lwe,1.3080139425608748,0.27982578615319187,0.505,0.4733333333333334,3,3
64,3.0,attacker_success_regression,cubic,quadratic,0.49088069367381726,0.6630928751180798,0.505,0.4883333333333333,3,3
64,3.0,attacker_success_regression,eo_lwe,quadratic,-0.39093501848675977,0.7185521384077783,0.4733333333333334,0.4883333333333333,3,3
