trial,a_hex,b,m,alpha,e
0,9b0b0000760700001d020000670500001501000054050000dc0b0000fc080000ec0800008c09000088030000dc07000075040000a10400002b0c00001b000000,2737,1,6,0
1,bb000000dd070000e401000083060000a10c0000480c0000560a0000bc0c0000ea050000fd010000f608000027030000c90b00007e0c00007a040000e40a0000,1322,0,2,2
2,08020000f1050000ec0400004a000000b70900006d000000da0800003904000029020000ab0300003b060000c20400002c000000b2090000e6040000a30c0000,1229,0,6,-2
3,b10100005c0b0000ac0b0000460c00008b0500008d0000008f04000028010000f401000095010000790300005506000083090000b0010000ab0b00002e020000,3,0,5,4
4,45010000a1030000050700005c05000041020000c2090000520c00005904000026000000d3050000b60500008a00000023030000700900002703000099050000,1458,0,4,-4
5,2d0500004805000074050000ce0a0000740100006200000071000000cb0200006c080000d60000002c0600001a0c000075060000b80400007600000029050000,1639,0,7,3
6,49030000170b0000d008000091010000740300003d010000e4030000fc03000094000000260c0000c0010000a70400001d0a0000c4080000980c000031060000,1578,1,7,4
7,54000000b9040000630c0000180a00004b0700000a00000020030000d80b0000910c0000ad080000fe0600007c0500007f020000520c0000e9080000da030000,175,1,6,-5
8,000400001a0a00002b000000f1060000d6000000b5030000340b000008090000700800009109000023040000280800008e060000da070000d10700005e010000,1866,1,0,0
9,84010000680300004b0500003002000042010000a80c0000010c0000db0c000028060000b70500007e060000570c00008e02000045000000fd0a0000680a0000,704,0,3,-3
10,f4000000ff0500000a0800008a08000084080000da0100006f040000080500006d0700005a050000e00900001a070000df020000bd0a0000560500009a0c0000,85,0,5,-1
11,ec030000090a0000e10b00004b030000ba020000cc060000b7010000d30300002c0b00001a0b00009509000016020000400800003f020000980c00001a010000,1613,0,1,-1
12,050b000094090000b50b00008a080000b6020000ff0300001f08000095090000170300009c050000df010000e9080000d30300009d0700005b00000084080000,3228,1,5,1
13,bf0b00003e000000440800004201000073000000430c0000b1070000d70a0000fa05000053010000af030000b40b000068020000300b0000f2040000c4040000,2298,1,0,-1
14,e5070000aa080000d20900009d0b0000680400002f07000030070000d30300003e0500004b04000082030000f0070000a90600001c0b0000bf00000076050000,396,1,2,-1
15,960b00002102000039080000f00100009f0400001706000014000000fb0a0000a6030000570100004c090000650200006b060000ea090000a0000000800b0000,453,1,6,3
16,b5040000db090000250c0000980800009d070000d7020000b70a0000c6050000a60a0000d0020000400300004103000026070000e40b00003c050000bf020000,3110,0,7,1
17,35030000d00000000a09000030060000f80b0000930000002e0b0000e8010000a90c0000360a0000c7000000a10800002d010000e20b0000a0070000e9090000,1635,0,0,-3
18,9f0a0000b4000000a4050000650b0000310300007f070000910a0000440800003b0c000060010000ce03000029040000730000002a0000009f000000ec0c0000,905,0,5,-2
19,bc03000070080000770b00004f0900008b000000c1060000f808000016030000f60a00001306000009070000540000003a0b0000f103000018050000af0b0000,1170,0,6,-1
20,26070000560b0000720b0000e5050000dd070000330a0000bb060000220a0000250900003f070000f80100004104000012070000560b0000d704000022060000,887,1,2,4
21,64020000200b0000a9010000a40b0000120600008e010000250500003a0b000060090000d5040000c40c0000cf050000e80c00003b070000d408000066060000,715,0,7,1
22,d80a000077010000cd040000a6030000240c000054000000a10800000a020000aa020000490a0000860b000076010000580100001e0800008906000067020000,2389,0,0,0
23,0d0600002b0100008a040000d40800005b0500008d0b0000b3060000d80b0000ea0a0000dd080000020200006507000055000000870000002e02000023080000,914,1,0,-1
24,4f030000e701000063000000bd020000a4050000c70a0000b00200008d010000160b0000140300007c040000400500004f010000cc0b00007d040000a3020000,1144,0,1,1
25,df030000f409000069070000ac0b000058010000b60a0000d6080000720200008f020000950000006b0b0000b70300006303000060060000a20800004d060000,2780,0,6,2
26,460a0000e30c00008800000057020000570c000083070000e9010000eb0300004a0c0000e707000097090000c408000026040000ec090000840100009d000000,1367,1,6,-4
27,350a0000ad0100009e0000000a010000310900006507000026070000e30c00003a010000eb04000022030000470800005e0b00001e050000b307000069040000,2350,0,6,-2
28,a80400000e0400009e070000000c000031030000e2090000f80400000b03000017070000db060000e0010000e90b0000a3080000c1090000ab09000092060000,2332,1,7,-2
29,e4010000e3000000c4080000d6090000ca0b0000510b0000ea080000db0c0000c50b000016080000190600003a0b00003b090000ef050000ac02000001000000,62,1,3,1
30,a10c0000550b000079040000a1090000530a0000d70b000020010000770700006d0200006d090000380000004f030000610b0000af0700002f0000008a020000,1467,0,5,1
31,520c0000cc010000f70700000c030000c00b0000750500006b0c0000ae060000d00700000c0b0000dd000000f9050000f6070000cc0c000038020000db090000,628,0,3,-3
32,840700001e010000b10500008d0600005b08000017020000f70200000e0c0000d608000087080000c802000078030000de0c00009e020000b90c0000f6040000,2976,0,2,-2
33,bd000000f000000012050000a505000033000000a2090000080200001f04000007000000c5060000950a0000fb070000e7000000290b0000d400000085060000,1227,0,1,2
34,e5000000de090000f002000042000000960a000044000000af060000c10c00007b0c00008b0c000057020000cf0a0000300a0000d70500005b030000db070000,2638,1,5,-1
35,33090000200500004b0c0000c7080000f6010000c3040000b8070000e9010000e2060000670b0000df0200003205000033070000510200002a0400005f0a0000,2578,1,3,1
36,1304000008010000230700005a020000ad020000120a0000d9030000ff060000a30100008d090000d80c0000c40800007e0c00005a04000066010000db0a0000,911,1,3,-1
37,800a0000510c000016030000690100000d020000e30a000032040000a80c00007d0b00004d000000da03000090000000bb0600007f0c00005801000042080000,1725,0,4,1
38,b80000003b090000c70c0000150400003f09000076040000fe0600008c0300009f090000f90c000091080000bf0700004704000091010000d1080000860b0000,3120,1,7,0
39,0a040000380b0000e6080000990900009b030000d6030000a603000070090000150c00003e090000bb0b0000ea060000aa0400002e06000072090000200a0000,2493,1,3,-2
40,4e050000450a000049060000d4000000090a0000950100002e040000fa05000060030000e101000021040000bf020000c6020000ed02000082010000af0a0000,2287,0,6,-4
41,2d080000b50600008d08000004000000960200006b070000d5040000a5030000af0900004a070000df020000e70b0000ed080000c1000000820a000057000000,1751,1,3,-2
42,df040000b107000059000000460c00002306000096000000a70c0000e90b00005b030000cf0b000076090000b60c000036090000920600004c0800004c050000,833,1,7,1
43,e20c0000940800003d090000e0090000c50a0000f10a0000cf080000db0600007c030000a700000055030000c60300009f00000093030000c50800008e0c0000,142,0,4,0
44,570a0000e20c00002a0a0000a20a0000d802000011020000ff060000a508000081050000dc000000fc020000c3030000fc080000ab0a0000ee0a00007a030000,1292,0,0,-1
45,390c000049020000350c0000e30400006e050000c40b0000c40a000040050000060c0000e00a0000cb0200004d000000ec080000820c0000b40100009b0c0000,1803,0,2,-2
46,f10300002a0c00009d09000046090000b2060000f90b0000bc0300001607000047020000e7030000ef05000097020000a3040000680c0000d1030000fd050000,378,1,3,1
47,dc0b0000f00b000000040000370600007d0900003600000028030000ed050000360000001305000025070000ef0a0000f7040000050a0000c20a000018090000,2998,0,3,1
48,72070000f9000000080b00003a0000005f0b0000ff020000b003000036060000880c000081050000b40200005a050000dc0900001c0c000014070000220b0000,1275,1,1,-4
49,f1000000120b0000390600002601000036030000030c0000e30b0000f00700001a050000e30a0000e6070000000b0000d5040000db090000b6080000150b0000,146,1,4,-1
50,09010000d8010000f1050000440200009f0c0000f3000000ef0500009f020000eb010000330900006f02000073090000ad010000ff0a0000c00c000064050000,1580,1,1,2
51,7d06000014060000b10c00002b060000670c00004e0c0000250a00004609000090010000370600007905000013070000280200000f060000830c000077000000,1030,0,7,0
52,bf0c0000c5010000620700007c050000930100009f0c000062050000d10b000092070000ff080000d901000033020000dc050000c30c000004040000e60b0000,3259,0,6,-1
53,510200003b070000eb0100001d01000036080000460c0000f1010000200b0000ac0100000c0400009f0b00000c08000096070000750a00000d00000071050000,2051,0,0,0
54,9809000088050000a70a00000f080000ee030000780b00002009000027050000b60a00007b0a000076090000d3040000690700000c070000190700005f090000,2929,0,6,0
55,6b090000fd0a0000a00500000a090000f6060000c7090000d805000070070000960b00002d070000b00800003601000071010000690200009b0b0000e2020000,1831,0,4,-1
56,230400003d0800009405000060010000a7010000c90b0000870400002204000082030000090b00004e050000d007000075020000ad0a0000880700004e0b0000,2973,0,7,2
57,75000000140a000084040000ae020000ca0700008205000060070000ec04000044010000710c0000dd0a000009030000d00900006f0a00005f07000014030000,1543,1,6,4
58,060700009d0900004b020000740b00000903000065090000ee0c000024000000f10a0000e3010000f00500003c0600007a0c000060020000250a00008d060000,772,0,6,0
59,1e080000f40a00008101000092060000de060000fd0c0000fa010000e104000055080000000b0000ec08000065090000360600001a0a0000ad070000cf0a0000,3063,0,6,-3
60,b10800001f0300000a030000290500000a070000fe0b0000d1030000270b00001a0400006a030000e40900009a07000019040000470900003c09000058070000,1741,1,5,1
61,ca030000110c00004e0b0000d30900003b010000eb0700006c080000a20b00008a070000b70c00002808000034020000510600000f0200009c040000e30a0000,160,0,7,0
62,fb010000ae0b00001c030000750b0000de0900000308000020040000c4090000a9070000ee05000087010000be040000fd0000002c020000b605000001040000,1570,1,7,-4
63,ef020000d40a00005d03000069020000ad0600002a070000d0080000af01000016060000900b0000a5090000f80a00006c050000eb080000480c000005020000,3169,0,3,3
64,a60900007f060000a80500001f0a000079050000380100007308000028000000e9040000f00500009b060000d5000000150b00002305000034040000ef060000,1709,0,4,0
65,d6070000b203000089060000fa0600007501000067000000a3020000b6000000db0b00007e080000450200005b0500005301000019000000a0010000df040000,792,0,3,0
66,ad010000670b0000ba0b0000090500007b0100008c090000e6030000d30900006f04000031080000fc0500006a0b0000d8080000b90600008b050000ea060000,201,0,1,1
67,9a0500006c050000de040000c6050000260000008e0b0000100a0000cb040000c1030000e6040000d40b000040050000bd05000091080000f90600000f020000,2062,1,7,-1
68,cf020000c5080000cc030000a6030000f00900003b0000009601000037020000820100005e080000910b000097030000860c0000c2030000c5050000c50b0000,2079,0,0,1
69,8a040000580b0000d5070000e10900004809000091090000be0800004501000084020000030b0000ad050000990600000707000045040000e70700009e0c0000,2139,0,3,-1
70,f7070000280b0000400600006b0b00003407000079090000f50a0000be050000ec0300006e0c0000ad0a00005707000068040000060800002b030000d1000000,594,1,3,-2
71,760c0000180b000049030000880b00007b0200009a0400003e020000cf0400007f0900009b06000062020000b2050000d50800000c070000d40200005f050000,2329,1,7,1
72,7c06000029000000b30b00007e0a00006c090000110700006d080000f6050000e5020000e50b0000340b0000ce07000002030000a9050000dc08000008050000,1354,0,0,2
73,830500003f070000c2030000770b00004a02000070050000f30c00004c0200002f0a0000d1080000070600002606000010070000d30900007a0a0000ab050000,462,1,2,0
74,ac0c0000b4010000080a0000b2030000340600001e0a0000f60c0000710200001c0500006804000080080000d90a0000fd0900005b010000b2060000270a0000,757,0,1,1
75,c10400007a030000d90c00002d01000038080000230a00009a050000f901000003070000cf05000036090000a9090000f1030000210400003c0a000021030000,1233,1,0,0
76,b00100008b000000de04000058090000e70800008a0200007f02000036080000410100009a050000740600003901000002070000570000007a05000089010000,1631,1,0,-1
77,e30500000506000081090000140b000012040000cc070000c503000000020000a70b00002f0700006c040000c80200003d060000690b000006030000c5080000,2610,0,3,-1
78,e40a0000a3010000270100007f090000e4070000e4030000db0600001e050000a9070000eb070000d20a0000330400001d040000ee000000b80a000069040000,2071,1,7,-1
79,bc090000260a000013000000e20400003f0b000088030000d70200007e080000f20b000063000000bf07000076040000e80b0000fe0b00005f00000058050000,1935,0,3,2
80,ba070000c806000034000000240a0000fe0a000074020000490b00004d040000060c00004e060000570b0000bb010000630600000e070000830c000030060000,2308,0,2,-2
81,4f08000059010000f3090000990700006f09000092050000450b0000080a00004a080000660b0000000800001702000024090000090500005f030000ac0a0000,562,0,0,0
82,130c0000f8070000000a000022050000570000007408000081000000a909000026030000670c0000b40100000e0900002b010000dd090000f401000083050000,2987,1,3,3
83,16090000d9040000d1040000f8020000fc030000bd0b000069040000b80900006a02000007010000520500002e050000d60c0000de0c00005a0c00000a020000,381,0,4,8
84,ee0b000011060000da060000870b0000cd050000bc030000a6060000e20c00002e000000160b0000c40b0000240100006d0a0000ac040000f4040000a30c0000,1613,0,1,2
85,79010000170400007802000092040000280500005b020000b2040000740800004805000054040000a60200009300000080030000930600007f09000074090000,232,1,1,0
86,c80c0000ba080000960a0000ad000000df0a00000409000078080000040800000906000018030000a30a0000f40b000049010000ab0a00001f00000065050000,908,1,6,-1
87,42060000860800001b0200007a060000810100007801000044030000bd030000210900009e070000b60300000b090000ea030000c50a000027000000760b0000,1514,0,1,1
88,10030000c1020000570400005c0800004d0200006e060000bf0200007a0900007b0500004f0a0000bb0900008b00000063010000c6060000790900008a060000,4,0,7,-1
89,74070000330900005d090000660b0000a20500009b0a00002509000016040000040c0000700000003f0400008a010000b70c00007907000068050000dd0a0000,1013,1,5,0
90,72070000c4030000eb0a0000020c0000400b0000f30700008b0200005b090000280a0000a9090000ed080000f5050000b2040000c00b00000d01000036020000,298,0,3,1
91,8b0600009a070000dc0200000e02000091050000bf0800003d0500007c030000a8050000b90600000e0200000e030000ca0200002f0b000007090000830b0000,13,0,3,-1
92,ba0c0000e2030000fd0c00001d00000071070000bb030000bb05000015070000c5060000490a0000400c0000b307000082010000590a000049000000990a0000,2266,1,5,0
93,ce06000006030000cd040000b004000071020000e3000000e10b0000cc0b0000b30a00002c010000390700001d03000048020000ce0a0000290300001c020000,308,0,4,2
94,d90b0000f60100006e0400000c030000380700001b020000a008000079060000b703000067050000a302000029010000af0b0000360200007904000075020000,2999,1,1,1
95,500400000b030000c30700008a0c00001605000027010000f708000071090000190a0000bb070000850100009605000056030000f00800008b0c0000e40c0000,1532,1,4,2
96,120c00008a0a0000a6070000590000008e0c0000260800004d0200008f070000dd0000008e050000120800001e040000c109000074020000b600000073080000,386,1,4,0
97,8d08000038070000c40700002b000000e60500002a050000fa0c0000a0070000270400005009000032030000a70100006a050000a60300007f0a00006f080000,1336,1,0,2
98,f90200009a0100009f030000720200000d06000040030000db000000b7000000eb030000d30100008b0b00003d060000f4030000480b00005404000098040000,909,1,6,-1
99,77020000c7010000840c00002b0c00009d080000c20700007b080000f60400008f050000fe08000079000000070b000024020000680700007b01000004090000,1166,0,7,3
100,7806000025050000b3050000b30900000b0100000c0a0000e4090000b106000008070000f70000007e0b00006a0c000029080000b00700001a0b0000b6060000,2201,1,5,-4
101,a40300008d0800003f030000170c0000c20b00007600000099030000660100003f060000f00b0000490900003a0000008d0b00004f0c0000750b000036090000,178,1,4,0
102,83000000fb090000b4090000050700009a010000f5090000c3070000b207000076080000d4090000200c0000ea070000dd06000016050000ce0a0000290c0000,757,0,6,2
103,67060000ab00000092000000c20200008e0100002d0b0000c203000089080000a7050000060c000043020000440500000801000046080000fe080000a2050000,2585,0,4,-5
104,fd0c0000c6040000270c00002a090000cd090000340b00006e0c00000b03000019020000ab03000099090000b3070000f80c00009307000086000000ef040000,798,0,6,-1
105,69050000d90c0000c90600000e06000055000000ee0c0000af0800003b080000e3090000a0010000d800000006080000210300009f0a0000d6070000270a0000,3021,0,0,0
106,82040000c10300002a060000bb07000015030000f20800002304000030080000b0030000ac060000c80000007408000025000000b40300000e04000009030000,2529,1,1,0
107,0b0300005600000080020000cf0a0000e401000013010000780a0000340b0000e0060000fd090000020c0000580800009f000000cc090000d10b00008f0a0000,1231,0,0,-2
108,9f09000045020000d00b0000b2090000440b0000a8090000d2070000f80700004f000000b00800007e080000140300009f000000700100000902000082090000,819,0,3,2
109,0e040000010600008d0a00003c0c0000a10a0000340300009e060000340c00006e050000da03000079020000b9080000490300006908000086050000dc020000,562,1,6,-4
110,7f010000c1000000ec050000620c00000900000088030000570900005a020000ce020000350c0000c60300001d080000c709000056040000d202000003060000,2815,1,4,1
111,3f0a000051040000ae020000c20a000084020000d608000007070000f1060000e7090000e9070000e20a00002a020000800c00004d0c0000f405000086020000,1684,1,4,-3
112,4509000049040000e60b000046060000970700006b05000032010000b9080000140c000093010000030a00004500000028000000cc0a0000370400001f080000,2987,0,2,2
113,3c0700001f0b0000fd090000870800000a060000b40900002f01000082030000af0400009a00000010060000b10100005408000001070000570a0000ef090000,2801,1,2,0
114,3f0400002c050000ac06000074020000380a00007f0500000c0700007e0200002602000034060000f90500001f0000006e0300007007000025010000ca090000,1667,1,1,-4
115,c20a0000a40300008e03000040040000f20800002c050000dc0c000049000000460400006708000092090000ed050000eb0c000036030000040c00005b090000,1662,1,7,1
116,97090000ff040000db08000082090000db0500000f060000a8040000820900003e0500001e0900009405000089070000b20100007f04000059070000140c0000,2819,1,7,3
117,34090000d40900003c060000420400006d050000ef0c00000705000060040000e301000030010000ce0800000b0700001c0a00000a0900000a0000007a030000,241,0,1,1
118,b70700002305000075050000e408000074030000f40a0000450a0000f808000099040000db0900008f07000039020000c80b0000a102000017000000460c0000,291,1,3,-1
119,0f01000003000000b40c0000230600004d0600004e0900004a0c0000770c000095050000e80600000c0a00009b0c00002806000030090000070c0000320c0000,1697,1,5,-1
120,d40b00001806000072000000d107000024010000180c000023040000490c000040080000470b00000f010000930a0000d002000008060000720100002e0c0000,1645,1,1,-3
121,4504000082030000f4060000a7050000ab000000f0020000440b0000210c000039000000d2070000c006000051060000ec0600000d040000ee070000dd080000,816,1,3,1
122,db0800001b0a0000e00a0000ed0a0000940b0000f5000000210b00001a020000e4020000bc0a0000080800003c010000d7010000ba0b0000a50500007b0a0000,700,0,7,-1
123,be070000b0010000950400000104000093090000ed040000f109000010070000230b0000890a0000f6040000f90800005f0c0000f007000041050000f5020000,2822,0,6,-2
124,0f0a0000a00a0000080a000083090000ab03000012050000d3020000480200000e030000cb04000077090000530400009f0500003b030000ba01000056050000,3227,1,2,-1
125,8d05000058060000f8080000ba07000078020000420c0000bb040000a5040000770800008f020000020200007b050000080b00001f0400002305000079090000,1383,1,0,0
126,320b00004e0600000e0b00002c040000f10200005e0600008a08000036060000f005000054080000b7050000af060000fd0b00004f000000aa0900005b090000,2433,1,0,0
127,36040000b3030000bc060000fe0b0000620400005c08000063000000a6010000c1090000a901000053040000ac050000bd0b0000f5020000320700006f070000,2053,1,6,-1
128,96090000b8060000230c00007f090000e20300007b0600002a08000043040000bd0b0000af0200009600000047080000330900005d0c000012010000ae020000,2529,1,1,1
129,ba000000a902000082090000730300001a0c0000f50b000051060000b5040000610c00005701000030020000440600006d050000020b0000a3010000d6030000,3051,1,1,-5
130,b9010000da010000c8090000ba090000090a0000360b0000560c0000be060000aa0800002003000093010000b30700008d0b000003040000330600007c090000,2710,0,6,-2
131,220b0000fd0a00000e0a000050070000b70c0000d4010000650400004905000035080000c604000078000000f50900002b08000030010000fc020000e4030000,1353,0,5,-4
132,b90b00004a0a0000d90700009a070000030400003a080000070b000013030000ba07000075020000f60c0000fe07000053030000d80100000609000042010000,3112,0,4,1
133,a1070000e10a00008b0b0000700b0000eb0700004e060000ad01000050050000110c0000d0080000a3040000dd0800004807000014000000a1090000dc050000,2930,0,0,4
134,150c0000190b000073030000c500000062010000b3080000e9030000210b0000f80c0000d60a0000190a0000540c0000e804000009080000660a00008e000000,1779,0,0,0
135,e2010000030c0000400a00008304000002020000920c00000f030000da090000c40000007903000099090000d4050000c30c00005e0400001b060000030a0000,2351,1,7,0
136,bf020000ba010000c4060000490100002f060000d8080000b8050000bb0200009d070000cd0b0000e60b0000b6090000210a000005030000240a000013060000,483,1,3,0
137,dd0500007c0c0000f6000000a505000046080000d90600009d0000001d0700003f01000048060000a802000066080000e0080000be090000d00300000d080000,403,0,2,-3
138,7d0000008904000001040000f70a000019000000f6020000df010000aa000000a70500007f0c000099000000d5000000c50700007e070000a303000004060000,2612,1,2,0
139,3b0c000021010000e10000001c000000e1030000e8020000680700009d0500004e0700000e030000f0070000610b000068080000f3080000b20b0000100a0000,566,1,3,0
140,c9070000190500008a02000063000000b8060000550a0000c1080000b9070000050b00007e0b0000c1080000fc0400009a0400007d030000f602000094090000,479,0,7,0
141,a0080000280b0000010900009b030000e2010000e8070000db030000a40c000017070000e30200006a040000f002000092040000030300000e03000052000000,394,0,6,2
142,54000000d1030000fb050000fc050000d0060000af0c0000e30a000096080000ea020000f50700007e0200004f0700009e0a00005a0a0000100b0000c3060000,2453,0,5,1
143,c8040000b401000071030000be040000f0010000ea030000200600009a0b0000cd060000630a0000c202000025080000940c0000cd0200006a00000049030000,2505,1,1,-4
144,4a09000042040000ed0700009a000000cb0c0000ae010000210c0000f90900007e010000ff060000a3090000e60900009b0400002c09000014090000be030000,1987,1,3,-1
145,5c0800008309000021080000470500000c0c0000f20b0000a20800008f0300006c010000ba05000081020000d6010000e6040000cd0000009502000076060000,2397,1,1,-1
146,e60300002f010000d00900001f070000c2010000df0800007f01000095040000930b0000770300004f060000be0b0000420800000e080000e30100004b0a0000,1448,1,2,1
147,6a0b0000b7070000b60600008a0300000b0c0000a20000005c010000f50a000000010000ca0000004f0b000046070000350700001c0600009e020000f7010000,2096,0,7,1
148,56080000420800001a00000011060000600a00004a010000a7030000fa000000680c00009c0c0000330800006509000089040000ef0a000045000000b20b0000,1832,1,4,1
149,59000000e10c000066050000ee0a0000c30b0000b2020000e9020000190b00001f0600001b030000340700004800000047010000fa0b0000be0700002c0c0000,17,1,2,6
150,7f0a0000a10000006e0300009201000026080000a50b00000f060000420400002d09000048030000f40500009a0b00008d04000066030000cd070000df000000,2775,0,4,0
151,bf0100001f050000de050000940a00006b0200004f0200008a070000a8020000d90c0000c60b00006d0900008000000061080000360c0000750700001a080000,1492,0,5,-1
152,e60b00003f03000076040000b40300007f010000c4040000a8070000a600000064050000c60600002e0c0000cc0c0000cb080000060000002a0700005d020000,1159,0,1,3
153,0a0b000097030000df080000bc000000fa04000057060000390c0000b308000097060000c30a0000420600001d0800006a0b0000190c0000980a00007c0b0000,663,1,4,-2
154,85090000a50900000b0c0000150a00002d060000680b0000aa0c0000be070000e3040000880b0000eb000000900a0000b8070000f80300004e0400007f090000,2524,0,7,-2
155,e00c0000a20c000028090000f70100006b010000c30c00005c030000090b0000dd0200007f0a000034080000c80300009d070000a30c0000ae00000088040000,2780,1,3,1
156,01020000210200001b01000044050000b70b0000d10900006301000017070000c40c0000090b000012050000bd0a000014090000430800007e0a0000c1090000,2239,0,1,0
157,5d0c0000010700008c020000f8080000970b000042000000a00b0000790100008408000028030000a90b0000b101000096050000bd050000bb0800002f070000,1193,0,6,-1
158,0c0500000b0800003006000053050000140100000e020000480c0000c80a0000d3080000e8070000b50b000075050000c80a00000e0b000023050000760c0000,2359,1,0,-1
159,830300009d040000e60a0000f20b00004307000096020000b7090000f1000000bd03000004090000370c0000ac020000950c000074040000680b000053020000,1499,0,7,0
160,5b0700009d0400007b070000440500000e03000094090000de020000c50300003f0c0000bc0200009008000056020000a10b00008205000023030000230a0000,2247,0,3,-1
161,49000000d10800008a000000e9020000a2090000a90a0000d20300000b0500003c000000970100008206000016080000b40b00004d060000000c000048070000,1588,1,1,2
162,910b000037010000de020000720c00006006000071010000d80300006f000000100b0000450a00003d08000092010000e300000001010000820a000019010000,2449,1,3,-2
163,f5000000290400005c010000720c000064060000d6050000670000005305000038020000d90100003c0a000034080000280b0000370900007f0800009e030000,1663,1,2,0
164,eb020000560300005a0900002d0900009b08000051000000a1020000b50c000030000000a40600008d0c000089020000370100005d000000ae0a00000d040000,1387,1,3,-1
165,dd01000070020000dd00000043020000c4010000b20a0000390100000f0300004e000000420300005a0b0000160c000082070000d30100001f0c0000370b0000,3120,0,1,-3
166,32090000a8010000b4060000fc01000094090000470c0000e3070000560c0000b6000000de070000de050000fc060000d2050000bb0500002b040000c7010000,963,1,6,0
167,aa000000ad070000f7030000ac0b0000aa030000830100005c0800005506000015070000640300000a000000de050000b50a0000c10a0000850600002b010000,2321,1,1,0
168,6a0a0000e304000084030000bc090000880b0000390c00009f070000ce01000034080000be0500001901000008030000e40a00009d0000009703000048050000,1269,1,1,1
169,3f090000f60c0000250000001809000044010000a20a0000eb080000410500003609000060060000da0300003001000041020000640a0000fe0800002a070000,323,0,1,1
170,1b0a000003050000130b0000840a000000000000520b0000d8020000c9030000820a0000d0080000510500000d00000058090000da070000240100002f0c0000,2062,0,2,-2
171,ad0a000092030000470a000073050000a20b0000510800006e0c000057070000420200003c010000f1030000d90600006a0c00005c07000011030000df0b0000,2944,0,2,-1
172,470100004e090000ad0500009a0a0000840b00007b010000be080000580b00007f04000024050000c10c0000210a00006a040000b00c0000a70b0000a1030000,3040,1,5,-6
173,1d04000016000000930300001d03000020010000c1070000e8080000890900007f0c000087010000d50500005109000051030000980400008a0500009d070000,747,1,6,-3
174,25030000470400004a0900008306000042050000d20400006c0a0000ed0900000c0c00006a060000ae070000110800008d0c0000e00b00008e030000f30c0000,1837,1,0,3
175,6e0c00009d0800000e0c0000df0200001a0a00005b020000fd0c0000b2020000f6060000aa0c0000eb0600003c090000fe090000b10a0000ae0100000e0a0000,507,0,1,0
176,6d01000049030000590600006e0c0000930b0000ae0b0000ea0c0000d30200007802000023080000de080000d30b00002f0600004f0100003c090000c6020000,2490,0,7,-2
177,52000000de080000b00200005006000085010000e80400007f000000d40200003308000068000000ea040000a6070000f20700004a000000a40b0000170a0000,2682,0,4,3
178,e4020000af06000010020000c30000000c0a0000a4070000f40a0000a5040000270a0000a70700006a020000e20c000089080000ad020000fd080000df000000,858,0,1,-3
179,e50a0000e3090000100000002a080000bb0700007a000000f9080000320b000001080000b00b000029080000360b0000ff000000560700009a02000071070000,2125,0,0,3
