transform,n,q,sigma,trials,honest_dsr,attacker_success_regression,bkw_score,linearization_dim,time_s,source_file,source_folder
cubic,16,3329,1.0,200,0.815,0.475,0.5625,48,0.0036554336547851,results_example2\cubic_n16_s1p0_run1\summary_cubic_n16.csv,cubic_n16_s1p0_run1
cubic,16,3329,1.0,200,0.85,0.565,0.5625,48,0.0036978721618652,results_example2\cubic_n16_s1p0_run2\summary_cubic_n16.csv,cubic_n16_s1p0_run2
cubic,16,3329,1.0,200,0.87,0.54,0.5625,48,0.0038025379180908,results_example2\cubic_n16_s1p0_run3\summary_cubic_n16.csv,cubic_n16_s1p0_run3
cubic,16,3329,2.0,200,0.795,0.52,0.5,48,0.0041272640228271,results_example2\cubic_n16_s2p0_run1\summary_cubic_n16.csv,cubic_n16_s2p0_run1
cubic,16,3329,2.0,200,0.835,0.42,0.625,48,0.0039954185485839,results_example2\cubic_n16_s2p0_run2\summary_cubic_n16.csv,cubic_n16_s2p0_run2
cubic,16,3329,2.0,200,0.865,0.455,0.75,48,0.0040242671966552,results_example2\cubic_n16_s2p0_run3\summary_cubic_n16.csv,cubic_n16_s2p0_run3
cubic,16,3329,3.0,200,0.75,0.43,0.5625,48,0.0040798187255859,results_example2\cubic_n16_s3p0_run1\summary_cubic_n16.csv,cubic_n16_s3p0_run1
cubic,16,3329,3.0,200,0.805,0.555,0.625,48,0.0040092468261718,results_example2\cubic_n16_s3p0_run2\summary_cubic_n16.csv,cubic_n16_s3p0_run2
cubic,16,3329,3.0,200,0.715,0.425,0.5625,48,0.0036818981170654,results_example2\cubic_n16_s3p0_run3\summary_cubic_n16.csv,cubic_n16_s3p0_run3
cubic,32,3329,1.0,200,0.87,0.53,0.75,96,0.0041861534118652,results_example2\cubic_n32_s1p0_run1\summary_cubic_n32.csv,cubic_n32_s1p0_run1
cubic,32,3329,1.0,200,0.855,0.515,0.625,96,0.0037457942962646,results_example2\cubic_n32_s1p0_run2\summary_cubic_n32.csv,cubic_n32_s1p0_run2
cubic,32,3329,1.0,200,0.83,0.475,0.5,96,0.0036804676055908,results_example2\cubic_n32_s1p0_run3\summary_cubic_n32.csv,cubic_n32_s1p0_run3
cubic,32,3329,2.0,200,0.84,0.525,0.625,96,0.0038387775421142,results_example2\cubic_n32_s2p0_run1\summary_cubic_n32.csv,cubic_n32_s2p0_run1
cubic,32,3329,2.0,200,0.82,0.505,0.5625,96,0.0039384365081787,results_example2\cubic_n32_s2p0_run2\summary_cubic_n32.csv,cubic_n32_s2p0_run2
cubic,32,3329,2.0,200,0.805,0.525,0.5625,96,0.0041429996490478,results_example2\cubic_n32_s2p0_run3\summary_cubic_n32.csv,cubic_n32_s2p0_run3
cubic,32,3329,3.0,200,0.845,0.43,0.6875,96,0.0043816566467285,results_example2\cubic_n32_s3p0_run1\summary_cubic_n32.csv,cubic_n32_s3p0_run1
cubic,32,3329,3.0,200,0.785,0.525,0.5,96,0.0040318965911865,results_example2\cubic_n32_s3p0_run2\summary_cubic_n32.csv,cubic_n32_s3p0_run2
cubic,32,3329,3.0,200,0.815,0.54,0.625,96,0.003831148147583,results_example2\cubic_n32_s3p0_run3\summary_cubic_n32.csv,cubic_n32_s3p0_run3
cubic,64,3329,1.0,200,0.89,0.51,0.5625,192,0.0054280757904052,results_example2\cubic_n64_s1p0_run1\summary_cubic_n64.csv,cubic_n64_s1p0_run1
cubic,64,3329,1.0,200,0.84,0.465,0.75,192,0.0047745704650878,results_example2\cubic_n64_s1p0_run2\summary_cubic_n64.csv,cubic_n64_s1p0_run2
cubic,64,3329,1.0,200,0.825,0.46,0.5625,192,0.0050063133239746,results_example2\cubic_n64_s1p0_run3\summary_cubic_n64.csv,cubic_n64_s1p0_run3
cubic,64,3329,2.0,200,0.815,0.52,0.5,192,0.004887580871582,results_example2\cubic_n64_s2p0_run1\summary_cubic_n64.csv,cubic_n64_s2p0_run1
cubic,64,3329,2.0,200,0.8,0.54,0.5625,192,0.0050098896026611,results_example2\cubic_n64_s2p0_run2\summary_cubic_n64.csv,cubic_n64_s2p0_run2
