trial,a_hex,b,m,alpha,e
0,fc0a000032030000d70c00001e000000f20300007c01000087010000f4010000d70c00002c0700005c08000036090000ad010000af08000098080000a50c0000bb040000b80700002b060000280000008d040000b7050000360300004c0600008a0b000004060000330a0000f609000051030000d3060000d40c0000fc0c0000,232,0,6,0
1,3e090000450500003a05000020060000ca080000740600000404000014010000dd03000060020000280400000c000000ce020000030100003c0c000010030000170400003a04000078020000bc0b00009a00000035040000b2050000d10c0000600b00009b0b00006f090000780200000d0500009e0b00006204000068020000,2394,1,2,-4
2,680200006b07000035020000f9030000e9010000800a0000b00300008b040000960b0000b9060000d40500008106000042040000df0000007f0500001e000000370a0000dc04000004000000450300002a0b0000050b00002e030000f70400002f070000f4020000e409000090030000320000005b060000cc080000740a0000,2973,1,6,3
3,d0020000cd050000860800009604000051010000670700009c000000c202000078050000f9070000df010000af0300006c0300000b0500000a0c0000930700004209000084040000e2050000cb070000d90100003b080000d60300007f0700001a0c0000e20c0000420900006c0300003f0b00006407000094050000d3060000,1674,1,5,-3
4,c0080000790500009a050000a3060000530a00006501000027000000dd0800008404000068070000e00500003d0700004003000076040000c209000028010000ea060000e20700008b080000f2090000aa020000800800002c000000760800006e060000be040000ea0000004f040000a4020000fd0c000074000000aa040000,1158,1,4,0
5,8a0b0000c90c0000bc0c00001f03000053030000f00800007d0600002b050000540500008d020000ec080000e40400004e06000019010000a1020000330a0000a40a000098040000fa0a0000fc0a0000810100000f0a0000dc0300002d0c00008702000056040000a20800006d08000067030000f20600008d0a00004c000000,2466,0,7,0
6,79070000f8010000a1080000ad030000a60400003b0200009b080000650400004f09000049020000c40000004d020000ea09000049020000f00c0000a20400002a0c0000eb0700005b030000480a00009f0b000064050000ab0b0000f6040000cf0b0000c50b0000a20300004a0200002d030000ae020000660b0000ea0b0000,46,1,7,2
7,d90300006b0700006e0b000015050000390b0000320300009f020000f70500000d0c0000b1010000e909000057040000150c0000d4010000d00c0000dd080000c504000018090000500c00003a070000570b0000820b0000130c0000be0c0000f103000091020000b2030000b905000037020000920b0000bc000000bd080000,2276,0,6,1
8,1c0c0000e10500001b040000f80c00008e0b000076010000e00c0000450c00002d0500007204000099010000c90b0000940200006802000073040000f90c0000b6030000170c0000600700006a0a00007e090000f5020000240400000f010000260c00003901000080010000fe0b00003c000000ef0500006b04000096060000,1756,1,0,-1
9,940700002f0500008c0b0000110a00007d0a0000fe0600006c05000065040000db010000d1020000aa0800002a0c0000ea0c0000c90100004a0b0000e20800000b0800006b020000510b00007f090000cf010000950b00001305000022020000e80000001708000039040000f9070000a7020000db0600007c010000eb040000,1168,1,3,-2
10,c103000000080000760b000005050000df0700005b020000a20b0000b9080000ec010000e9010000dd000000d9030000d80700001f0c0000c608000084050000b8080000690c0000cd0200006e0a00000404000034030000e40100006f0000003b090000aa020000120000006e06000010040000e4080000c00200006d070000,1104,1,5,-2
11,0800000055090000b6060000370a00000a0500009f0c00001a0700008b0a0000450000000a0800000a090000cb040000ee0700002a0a000072060000050c000046010000a8000000970a0000720000004c0500001e0b00002209000092070000c4000000ce090000710c0000c6030000ac0c0000a0050000370c0000cb0c0000,2664,1,1,3
12,5109000056030000d70b000098080000660b00007a0600002f0900000e060000400000002b00000021040000520600005f000000be000000df010000490a000047030000bb0200008d01000049070000f30c0000f2050000d00c0000ec090000b9030000a60b0000dd0c00006a020000dd0800009c05000099010000e5090000,2631,0,5,-3
13,41060000e503000023070000d20a0000dc070000370b000012030000fc0c00006c0200004b010000a20b000030030000a10c00009b0a00004c0b0000a3010000930b0000dd050000740300000d010000020400006707000029090000f5010000bd070000160300007a08000035000000c80b00000304000063030000a30b0000,3242,1,0,1
14,cf0600002409000094040000ed000000dc0b0000780500007a08000096070000d10c000039060000740900005f0200007a0a0000220a0000ac050000d90b00001008000042040000b20b0000cc0a00007b01000013030000550c0000df040000a30900006c040000aa010000ba0c0000bc0a00000e020000a906000081090000,696,1,2,-1
15,dc0b0000f10500009f0c0000d40700007f0c00006100000081010000620600008e0200004b070000ed020000a9060000be0200000f020000310b0000a00100004f090000330a0000c20b00002a0b0000200900008b0c00004801000016030000f70300002a0800005f030000df000000eb060000a40b00009e0700007a0c0000,3285,0,6,-1
16,cc0b000082010000ea0600006b0700000f010000030100004a090000aa090000390200008808000026030000d9070000510c000089040000d7030000fb0900006a010000fb0a0000a8020000d2060000b60a0000230c0000440b00000f050000220b00003a06000096050000e30c0000c2000000dd0a0000570500001d0b0000,906,0,7,0
17,8e01000087020000450c000089050000fb01000063050000e10700008206000061070000ce00000009090000390c0000de0400001e070000350800004a060000010200005c0200009904000085070000390500005c0200008b050000a70b0000be020000700600007a050000410a000034010000b20b0000c8040000f7070000,203,0,0,-1
18,90090000f804000056060000750300008300000077000000a0050000cb0b000061070000950700004c0a000062090000a901000043080000820700003d0400004909000038040000f40a000003010000550500008b020000fd000000d000000012060000d5060000c9020000ea090000aa020000a9010000360b000013020000,98,0,5,-1
19,78020000170a0000320500005d0b000015030000100500000f0700003c070000930b0000160c0000220800005f060000e50c0000d900000012020000c80700000805000046010000d30400000d0a00003a0c000060090000ba08000081020000c2030000ea0c00008b03000064010000fa020000350b0000f508000082090000,1088,1,6,0
20,6a090000c5080000b0080000460b0000d30b0000460a00007a080000f70200006b050000f4050000980900007e0c000063060000f3020000f90300003e060000a70a000079020000180100004d050000620000007d07000006030000ac0800004e0300000804000040050000e30a0000300a0000d90b000035080000220b0000,556,1,2,0
21,a800000007020000420600002a08000050050000850a0000e6070000b20600004b080000660b0000e9000000270b00001d0600003c060000a508000028060000a50a00003d0400004f000000ed0c000091060000420a00004e01000094030000c1090000e4010000820100004006000038070000ed040000ef060000e6040000,2889,0,7,2
22,99050000cb010000470c0000b8080000e20a0000d0080000cd090000d505000079070000500300008f0400002c09000004000000f1030000f60500008e0b0000850000003c0500001400000045070000240a0000500a00006d0c00005d0400008d080000f60400007107000060030000a90b00009b0900001105000041070000,478,0,0,-4
23,de0b000069030000a403000053070000a302000014080000b3050000d90c000075030000790700007d080000450a00007f060000d2080000d7080000f30100003906000064060000d60c000064070000f6060000160c0000df040000500c0000aa090000a3020000860400008f040000f50300002e0000004e0300007c080000,3195,1,0,-4
24,aa0700005f0500005b070000010700000b080000500200002d0a0000e80a0000a806000066040000ce0600006f080000b3010000db0c0000b9000000bf0400007e0c00001c0400007b0b0000c004000037060000db02000030010000c4090000df030000550900001f0000007c050000e803000036030000f0050000f1070000,23,0,1,-6
25,c50500003d02000033070000a30b0000860200004300000003030000ff050000210c0000f10500007b0c0000b1090000220900008d04000019030000cc0b0000630000003b050000b105000012030000390a0000a8060000380400003a030000310b0000a0080000540100003d020000ee0b00002a020000b20c0000f70b0000,1257,0,6,2
26,830500006b06000022070000f40a0000b50800007003000064070000730c0000b805000002040000a9040000100800006803000062020000fb0300003202000043080000000c0000f4090000f10c0000880600000b0200007009000002060000cf00000078000000280700007a0600005d0100002e0b0000950b0000b0080000,65,1,6,2
27,d2010000dd0100002a030000b70a00007d000000a60700007d040000eb0200003d060000460900000706000074010000b801000019080000270400001804000008000000d5020000e40000009b040000e805000090030000ee0b0000050b00005804000020000000d00a0000e90700009e0a0000460c0000ac06000027090000,2264,1,6,2
28,76080000d1080000ca00000052020000d0050000e20200006f0b0000d90000005e020000b20800002b040000510500001002000026050000df0b0000b3020000b8080000c10b000031060000a409000000050000e1030000080700005c0700006f010000780600000f080000910800007b0400005a07000058050000520b0000,2873,0,7,-4
29,c4040000c70000005e05000058090000e3030000aa050000c3010000da040000f9040000e10b000094060000a60500002302000046090000f20000009c090000360000000c070000f7000000300900008c0200001e080000580a0000fc0b0000d2070000060300007a0300002d0600008e080000f4000000800a000064020000,2862,0,3,0
30,a908000042030000cb0000005b0c00005a00000047060000b80c000085060000530b0000570a0000cd0100006104000078030000b10700009c0600008c0400005d0200000803000018040000d00b0000a0080000b206000008060000fa00000020050000dc06000012090000f20b000078060000490b0000c70a00001a080000,2327,0,5,0
31,ac09000004050000df0500008304000035080000bd05000076070000d0010000a20000004406000034050000500100006b010000670100002c010000950b0000b8010000cd050000750800008f0000001e020000080b0000c3040000950900008f0300003a0800001e040000c5010000e7060000550500006c01000040060000,3124,0,3,1
32,010c0000bc080000f6030000a202000009030000ad0c00001c07000089000000ae050000f10a00005e060000a8030000d80000003a070000d9090000be040000c60c0000b10c0000b70b00009f0300006b07000052020000d9050000880c0000180b0000550c00002a02000083090000ac080000010600004e070000cf020000,2513,0,2,0
33,b00800004a0b00004a0700009d0100007d04000041020000390c0000f10400008e030000d5000000f903000064090000f2080000800900007a070000650c0000710400003301000026050000cd0b0000c1020000c4090000fc000000680800007600000010010000c20c0000d20a0000350c0000df010000ef03000027040000,707,0,1,-1
34,d40200002701000033020000fe02000027070000d6090000c00500005d01000076020000590200002c010000cd0c0000b3040000d3020000d902000048090000a7050000fc0900001d020000010900004f040000b6000000b007000047050000a206000008010000b3020000fb0c000048000000650a0000460100009b070000,314,1,5,-1
35,8c020000350900005b0700004d0100000e060000f70400001806000003040000d60800002d0c0000a00b00001f0a0000fc050000b80a0000ac070000a60c0000680500009f080000420b0000e0080000af030000bd010000e7080000c2090000fc020000080100000609000023070000e603000021080000570a0000a2000000,2903,1,3,0
36,720c00002b060000200a0000c7010000040800004f030000b90200000b0b00002c060000cf060000dc010000760500007c0000006c09000094060000bf080000460a0000f5090000280b0000ae09000005080000470500007405000074030000de000000b5050000e7060000e90a0000950700001a040000f30900005a060000,1784,1,3,-2
37,d8070000f7030000f5060000580b000041040000920a0000910500000d0300004b0500004d06000093000000360a0000de07000042040000da04000051010000d70200002d070000860a0000ac0600007b000000b3020000ce0400006f01000018070000cf0b0000780c0000a1080000890700006109000095010000ac070000,1015,1,4,-2
38,9a0700005a050000ba0b0000080900009f080000880900002b060000e70600005c0900006e0a00006c000000d9040000e6090000fb0a0000c7040000730c00000d05000023000000f00c0000d6020000d2010000dc030000030400006b060000f90200004d090000a205000027060000c5090000ca0300001b0a00004b040000,1478,0,7,-2
39,0109000044040000de070000ac040000790600000704000075050000d10500000a050000e9090000450c0000aa09000080090000fa0900007a050000ab080000e20500008a050000f5080000b408000033060000010300001d02000016060000ef04000070020000380700003e0300005c030000c80100007a010000d70c0000,2482,1,3,-4
40,560a000024000000b10900007f020000460800001f0800000a0000007f030000330400009d070000830b0000a6060000e6070000e0020000df060000560100001202000010040000110100004403000021050000ac050000320a0000df090000ea090000340800000f0900006c0800003904000028010000650b0000640c0000,748,1,6,-2
41,54050000d2000000cf0600007c0a000071040000620300002f070000de0c0000bf070000900200000100000010000000de0c0000b70300006b070000f80b00006f070000f6080000ef0c0000a3060000690400000d040000f00300000f0a000034080000600000004b0400004f02000083030000a70c000079040000d6050000,229,0,3,1
42,10030000e1050000ae0500008d0500000309000088090000e201000021000000390200002e0c0000f30900004f0b0000f00b00008f0700006b00000020090000a8040000fe0b000073030000b00300000b050000420600005b020000c70c0000250900001f0200005f050000ef0200006b070000760500004e070000e6050000,2181,1,7,-2
43,e4090000760700008b0c0000fc040000530c0000e10b0000710600008d080000bc0500002e0000008e09000096090000ee0200008108000069020000150b00005a060000b00500009c020000750c0000030a0000300b0000d70000004f0400007f0b0000b10900003a0700005a040000000c00000d000000100700002a080000,3144,1,4,0
44,930c000083010000e8030000c50b0000e4090000d0010000fa0b00005d0900003f0800002707000007090000a3080000920500006308000036060000150c0000c30300002f04000072050000c004000011030000eb070000110600004e0800005b030000e90700002b030000d507000087030000ba070000b80600008a000000,574,0,0,3
45,b80a0000e5080000100500008f0800000d0a0000ec080000fc010000fe090000b9020000e8000000bd0000000b0700006c09000031010000300000005808000043000000240b0000860300003a02000068050000950a00008f050000120c0000280500001c04000065050000970b00007a02000024060000d907000070090000,1791,0,2,-4
46,3d080000000d000045000000ce0100000107000026010000c30900004c0600006009000082060000c4000000810900000d0000007f0b0000f3020000cf020000d8040000f6090000700c0000750700003c0100001f090000ad000000420a0000cb0b0000f00c0000f2050000a70400001e0800002b050000d00b0000c7010000,283,1,3,4
47,8207000024040000b4070000f40b0000b302000028080000c50c000088020000790100005a03000010060000350a0000240b0000d80800008a060000550b000037070000ed070000cb03000037050000940200003a040000ff060000f60400002708000022010000c30a00005c040000620b0000810c0000fc010000b9000000,2293,0,3,0
48,21060000b90400009c080000bf060000d0080000bf040000c9010000d401000070020000cb0300005d000000f9020000b90100009f03000091050000ea070000fa0800001c0c0000c8080000080a00002400000011010000f80700005a0500003a020000f2020000320b0000ac000000410b0000670a0000ab07000094010000,2402,0,1,0
49,fd010000290800009d0400009f0b0000d30400003a040000f80300000c0a000062010000440000003b060000c1070000ec0400001b0b00002e0100006b040000a30800009700000031060000b70600006b0b00006b000000540b000091070000520b0000960900009c010000e20c00001d010000fd0a000016010000fb010000,2929,1,4,-2
50,c60600009c010000a4050000a4090000e10c000052040000850600007f040000db05000070090000a00b000020020000590c00005e080000fa060000db0100009c00000040050000ac0500000b02000021030000c70a0000e90000005b01000030070000760b000067060000d70c0000e90b000061070000b0040000fe0b0000,1235,0,1,4
