trial,a_hex,b,m,alpha,e
0,d00500007b040000750c0000b203000049000000a7090000c4050000f4000000b9060000bd0200006507000078010000ec0800004c0b0000bd030000060b0000c70a00005600000085030000fd0500007a0900002b05000027000000e809000047060000b305000037070000c8030000a0080000d4000000720a000031050000520c0000090100004a010000ba040000d90c00005e090000b60a0000010300005a0c00005c040000150b0000e2060000ab000000a00a00005b0b0000510100007b06000022020000e20a0000ed020000ac09000087030000fc000000d6050000320100009a080000990b00000e09000001060000bd030000fa030000f7070000,1470,1,6,3
1,040a0000cd030000ee0b0000c10000009c05000057090000220200008f0100006c0b000056080000860400009c0100002c0100009f080000670a000088060000400a000076020000930c00004e0b00003f0800000b070000db070000e30700002d020000650a0000fd040000930100000e08000000010000310900008c0200006c050000ed020000780b0000e4040000a40400007509000063020000f6090000640a0000ce050000d2050000e1040000830b0000210a000086070000d3000000150b00007e0a0000c90a0000f50a0000e10800006b080000880c0000e60300001e0b0000690b0000820a000006020000c20a00003d000000d0080000ad030000,3051,0,2,1
2,02030000ce00000028090000700200008a0800002403000054000000dc070000b8090000ba0c0000cc030000cb0a0000dc070000830a0000160300008b0c0000fe0600003d050000ad0b0000c90700008b0600009f030000ca0a000009010000fd04000095010000a60a00009309000061090000b60700007c050000410300002f000000340b0000d1020000d20c00003e0b0000bf020000c30000009a000000c6060000a501000080010000470a00007509000036080000fa050000ed030000da0600001f0c0000940800005a0b0000bf00000043020000c40b00004a010000a4010000d2030000d2000000b0070000e90000008b0000000e08000063070000,1412,0,6,1
3,97040000ce0a0000be010000a00a000043080000030b00000b030000ce06000075070000a60900009d030000bc0a0000a4070000f2000000c10b0000d20500002b0c00001b040000ef070000820c0000ed0a0000b30200003a02000021000000750b00001709000006090000da050000fd0600006d03000006010000f203000023010000520500008a050000290c0000490b000019060000de090000f80300002f090000ab000000ed0b00009e0a0000c00600008c0400002b06000027080000310b0000ad060000f502000072030000100700006e0300001b0c0000010c00001b060000e5000000400800006007000021080000db0600000d0b00002b080000,1460,1,5,2
4,5e050000c90300000f010000d508000012060000680000009c080000ef0c000003020000fd000000500b0000850200008a030000e4010000060a0000cd0800006f010000ec0a000019060000b60100002a09000030000000110800007a0c0000fa030000620000007f0c000032030000da0700004a0c0000000a00002d050000510b00000c0c00003e070000fe030000d60700000b030000b70a0000090900005c060000250a00004f070000610900007c0200000b0a00005604000050020000400300007301000092000000fd060000df07000029000000260c000007050000c20b0000820100008a040000020b0000860b00004e0b0000330400002d030000,456,0,4,1
5,49080000da09000008080000130200005d040000da0500008e0c0000f60a00007d0b0000e5080000d80b0000ce0a00007d0c00006c06000026090000900000007b090000a0040000d70a000051020000570000000f09000060060000ee0200008c05000099010000fe050000170500002d0a0000700c0000610a00003c0a0000320a000041060000130a0000d9070000fb070000480600003b0a00007108000057030000530700003e0000007c020000e803000062070000ca0b0000230a0000090300006c0400003d0c0000b40600004a050000d50a00005f070000680c000082040000cb010000d50c0000a50c000072040000470000008200000006010000,2712,1,7,4
6,f0010000450200000a0c00001803000007050000cb040000a206000086020000170a0000e20700009f04000045000000260200003a0b0000ef01000004040000d10600009204000080070000700600004f090000420a0000070b0000580a000077040000250200009d0a0000f30a0000f6040000680100000901000001000000100c0000640a000025010000390a000058010000b50400001104000016000000b30900006803000081060000490600007e010000030c0000ea03000049020000cf050000720000000b0c0000a20b0000120b0000c70b0000e3060000b30600007108000029040000b90500002b0b00000a050000dc0c0000db070000cf020000,2173,1,7,1
7,e9070000990200002b050000ec040000930300002a0c0000f1070000aa010000cd080000100b0000010b0000ec0100004e0900003e030000f2000000d10c0000330a0000da090000400300007f090000080b000089010000190300009f0b0000820b0000f30000009204000075040000f4020000760b000042000000bf020000bc0c000025030000950a0000ff0b0000d20a0000570b0000d502000025070000450c000094000000fb090000cd00000050070000710a0000ab06000072010000280400008d080000f6090000520300006c0c0000250300000707000080040000880a0000b80000006f0600006a0a0000ec030000250000001207000005080000,658,0,6,0
8,b9060000c9080000e50c0000e90800006e030000470400008e010000050000004d00000022000000450800003d0600000c070000200a00009a02000067090000450a00005300000025070000d807000032010000ff08000098000000560b0000290b000098030000f5080000590c00000b0c00003c01000066070000eb04000035030000310100009e090000b6080000d60800007609000020030000de080000270600004f060000ca010000e0010000d906000017090000e50c0000f70000006e0000002a0a0000a60c00008f0a00006b0200004801000013000000af08000044090000840000009f0a0000720100003b080000440a00006e0100006a090000,310,1,0,-2
9,cf000000250c0000bb0800000c0c0000de030000340b00004b090000f20b0000c40100000501000016060000af0700008c0c00002f090000140a000053020000600b0000070800006a0700007f03000044050000bf040000300c0000bc040000860900004a0a00003d0a00000e02000056010000b5000000650b0000910a0000730c0000c80b00008c090000140c0000b706000098020000040b0000ee0200002c0b0000be060000bd0b00009f060000160c000036060000e4010000bf040000fb010000ff0b000075050000d50a000044060000a1020000be010000e30c0000f60800003b0c0000640a000019080000a90500000d020000ab02000043090000,2503,0,3,4
10,4b010000bf090000ce030000010b0000e3090000030a0000ff020000010b0000150100004e050000ca0100004e000000350c0000540800009a0400008c000000d80a0000bb0c0000a50b0000ca020000840800008e06000096010000dc0100005d04000046090000330a00004a020000d3080000e7090000ea0c0000150c0000d10c00002b030000610b00007d070000a901000018070000920c0000370600003e07000040060000260900002f02000043070000d3040000120300006409000027020000bc030000c40300002d050000dd0b00007a0b00002b0c0000ab0900000f060000000200006b0000008d0b000056070000540b0000a30b0000b5040000,1489,0,5,1
11,4c0b0000230c0000760600006609000029060000840b0000230500001a000000d9050000ac020000540700001f050000e20c0000a8010000450400003d0300000e090000c90100001b0000002f0c0000180600009d090000d5060000230700000d0b0000c60400000f08000050080000b604000009030000620800008f040000da0100002d0200002604000083070000f70c0000ca0900001f06000042070000d6080000c90400001009000030070000ea02000060030000d10c000066070000900b0000310800006d040000c70a000014040000ca01000090050000b30b000001030000bc0000007b020000830b000069040000ed060000db07000039020000,2337,1,1,0
12,8b000000c90c00004d07000067050000f60000009c0a0000f20600003c080000a00a0000ad000000e60c0000be000000a70600002a0a0000450a0000760600002302000085020000ec0b00007b0c0000c80000003f080000e50400004e040000020b00006a030000a9070000830800001002000006000000bc060000460a0000af080000ed090000f501000036040000bf080000de050000cf00000019070000f1080000b00400001b0a000070080000ee04000080070000de080000a7020000090b0000f2050000280c0000a70a0000380c0000920400004a09000006040000a1000000a30b0000ef08000087060000ac0a0000b20300004807000019030000,3100,1,5,2
13,c507000089030000000a000077040000a40c0000ef0500006d03000040040000f7090000250a0000850000007c0100007f090000f708000080030000d707000004050000390b0000830a0000b50c0000d60a0000c5000000ec050000530700000204000077000000170600003a040000ac00000004060000350300007c0400002905000033050000d10900006f010000c703000086010000b00b0000360400006b090000d0070000be050000d3000000d5080000bd0600003f060000e809000000010000810a00004f020000ae000000b60800005e07000042010000640a00001105000067040000b805000005050000ac0c0000e2010000e1050000ad0b0000,762,1,0,-1
