n,sigma,metric,transform_a,transform_b,t_stat,p_value,mean_a,mean_b,count_a,count_b
16,1.0,attacker_success_regression,cubic,eo_lwe,0.17960530202677596,0.8662100279301848,0.5266666666666667,0.52,3,3
16,1.0,attacker_success_regression,cubic,quadratic,0.9460998335825344,0.4289274312823067,0.5266666666666667,0.5,3,3
16,1.0,attacker_success_regression,eo_lwe,quadratic,0.7385489458759964,0.5244904070632697,0.52,0.5,3,3
16,2.0,attacker_success_regression,cubic,eo_lwe,-0.13443321448446635,0.8999103501182658,0.465,0.47000000000000003,3,3
16,2.0,attacker_success_regression,cubic,quadratic,-1.089469421405686,0.3745933842630325,0.465,0.49833333333333335,3,3
16,2.0,attacker_success_regression,eo_lwe,quadratic,-1.1540351966136213,0.3441253527707215,0.47000000000000003,0.49833333333333335,3,3
16,3.0,attacker_success_regression,cubic,eo_lwe,-0.8870655251454864,0.45229845822663506,0.47000000000000003,0.51,3,3
16,3.0,attacker_success_regression,cubic,quadratic,-0.8551633456984025,0.44144467559190037,0.47000000000000003,0.5183333333333333,3,3
16,3.0,attacker_success_regression,eo_lwe,quadratic,-0.20761369963434922,0.8505304777971877,0.51,0.5183333333333333,3,3
32,1.0,attacker_success_regression,cubic,eo_lwe,-2.0592194189509256,0.15943739048983435,0.5066666666666667,0.5416666666666666,3,3
32,1.0,attacker_success_regression,cubic,quadratic,-0.3487429162314578,0.7468343620175503,0.5066666666666667,0.5166666666666667,3,3
32,1.0,attacker_success_regression,eo_lwe,quadratic,1.045099521437422,0.3994706331670838,0.5416666666666666,0.5166666666666667,3,3
32,2.0,attacker_success_regression,cubic,eo_lwe,0.5625439504630094,0.613602622745776,0.5183333333333334,0.5100000000000001,3,3
32,2.0,attacker_success_regression,cubic,quadratic,0.6861137581600372,0.5581792832006063,0.5183333333333334,0.49666666666666676,3,3
32,2.0,attacker_success_regression,eo_lwe,quadratic,0.3970333335883728,0.7205076818661973,0.5100000000000001,0.49666666666666676,3,3
32,3.0,attacker_success_regression,cubic,eo_lwe,0.7100633381143404,0.5182344620026674,0.49833333333333335,0.4666666666666666,3,3
32,3.0,attacker_success_regression,cubic,quadratic,0.46222272946280873,0.6695615571778585,0.49833333333333335,0.4783333333333333,3,3
32,3.0,attacker_success_regression,eo_lwe,quadratic,-0.3023539489534757,0.7775401085384513,0.4666666666666666,0.4783333333333333,3,3
64,1.0,attacker_success_regression,cubic,eo_lwe,-1.9917411897716457,0.18463195669653829,0.47833333333333333,0.51,3,3
64,1.0,attacker_success_regression,cubic,quadratic,-2.7274118702909687,0.0962472300840447,0.47833333333333333,0.5233333333333333,3,3
64,1.0,attacker_success_regression,eo_lwe,quadratic,-3.023715784073809,0.09417837268432386,0.51,0.5233333333333333,3,3
64,2.0,attacker_success_regression,cubic,eo_lwe,0.29524069878307746,0.7937870574115473,0.5266666666666667,0.5166666666666666,3,3
64,2.0,attacker_success_regression,cubic,quadratic,4.807619738204127,0.012287726906310326,0.5266666666666667,0.46833333333333327,3,3
64,2.0,attacker_success_regression,eo_lwe,quadratic,1.3920445461382271,0.28016384874974304,0.5166666666666666,0.46833333333333327,3,3
64,3.0,attacker_success_regression,cubic,eo_lwe,1.1288650420603177,0.3224427922299736,0.5083333333333333,0.4883333333333333,3,3
64,3.0,attacker_success_regression,cubic,quadratic,0.2390457218668761,0.8287844726257393,0.5083333333333333,0.505,3,3
64,3.0,attacker_success_regression,eo_lwe,quadratic,-1.2803687993289643,0.3002504096249175,0.4883333333333333,0.505,3,3
