trial,a_hex,b,m,alpha,e
0,c40400001f020000430700003d020000df000000fb0200005f030000300700006c0400008e080000e10a0000010b0000f60c00005502000043030000dc060000cf0b00001e020000020700005e060000ec040000810700007503000010080000900500008a0a0000b40600009904000013090000970a00006f0400009c0b0000e30500003f060000620b0000a40b0000970700007a0b0000fb0900000a090000260200005207000012080000c50b0000710200001c03000031070000cf070000090b000019030000e0010000ca0200009a0a0000ca000000b00500005502000085040000bd020000a9000000e9030000a40c0000a009000032020000f6090000,307,1,6,-1
1,950700001f060000b60a0000090c00000d010000c80b0000a7000000d1030000e8040000920300007e0c000060010000120300003a060000c30400008709000043050000b7010000e40b000067090000e1070000350900005a0500003e0900005c070000e004000047060000be080000d20c0000160a0000040c00004c0c00003805000055000000fc070000840a000008070000dd0c000042070000d8010000d80300006a0800000e070000f108000004060000050400000d080000d40900001705000056040000c0040000630a0000160c000012060000ae09000035080000de080000be01000044040000fa0800008d040000ae0a0000ea0c0000520c0000,78,1,2,1
2,4408000001000000d708000004040000bc0c0000350a0000e4060000d80500001708000080060000e00c0000910a0000e80c0000cc0000003a050000ae090000800c0000610a00003c0b0000130a0000a7090000b5090000fc0000007f0600004c0c00000a0400009f0400001b05000074020000770b000057000000fb05000079090000a4070000cb050000280200002a050000530800009d040000a4060000ea0600009c0a0000180100003a000000a30a00004d060000cb0500001c0600009a0600003e0400000203000004060000b9020000b2020000870400000d040000a20b00006c0a000035040000df0c00004a0c00007f07000003070000cb070000,301,0,6,-1
3,570500006d0800005d050000280500006b090000cb040000b90000008d09000070030000500400008d010000ea0700007a0b00005b0b0000c5050000ba0a000026030000e00b0000ff090000fc0a0000970700005f070000260a000099060000b9020000d709000033080000f8070000fb01000077020000180a00002800000036050000ca0200004a0700009b010000190200001d0b0000f90c00006d020000e7090000cc0b00004a03000002020000220100003c030000e10400002b0300008008000035000000f5030000d50a0000fd0800004b060000a80000002509000095020000700b0000270400003e05000056010000d50800001102000027060000,205,0,5,0
4,59060000d90b00009c0800008f0c00000b0000009b050000970b0000490600007c000000f80500001f040000c308000058090000a0020000860700002c000000360500009f0700007208000068010000e6010000e1080000e205000052010000c4070000c40b000095010000b6080000800c00001b070000ad0a00009e080000e700000078040000cb080000c20a0000c1050000a60600001d040000a0060000170000009c060000730a0000b40c0000e6020000ed000000480500005a0a000031090000c60a0000dc0100005c060000fb0b0000a00500005f07000065010000e30b0000be050000a5060000e7090000370200008e040000f800000067060000,2211,0,4,0
5,1c0900003c080000a70500000c050000020b00002b050000e7000000b9000000a4000000e7080000600900007b0700006c02000052010000f402000062050000380000001201000088060000f70b0000e600000035090000410b0000470a00004209000001030000760a0000ae050000520c0000970000003107000027080000aa080000e3020000f50c0000640b0000e0090000900c00007a0700007d0c00004c040000be02000006090000df060000640700002e0c0000490b00000e0100001e05000090010000680c00000d0800009d050000ea000000b10c0000240900003b010000ce060000c3000000480a00005e0a0000c00800004905000019060000,3052,1,7,2
6,da0600006d060000330a0000e2000000880a0000e5000000aa0000007d010000ab0b0000c10100009401000028030000b40700006f040000fc010000f2070000b9000000f0020000140100007b030000fd000000640900009c010000350c0000ca04000039010000990c0000d5040000040700001f08000004080000e5090000090b0000b1080000f10c00006b0b0000a0070000d60c00007c0500000f0a0000990800003e06000027040000db0600006a060000a004000037040000420a000012070000730c0000c803000072050000930600000f000000a3060000a0010000b90700000907000051040000db070000aa0c00003b000000d2070000a0070000,854,1,7,-1
7,410200005e0000002c0c00004f0c0000760300001a0c0000ea070000720400002b0200004a000000aa090000d909000035000000e2020000170b0000410900001c0a000039040000fa02000099010000330b00008c020000790500006302000055070000680c0000780c000006010000c40b000002080000e3040000530100000d0b00005a0400006109000095060000aa010000480a000081050000990300002c0c00008a070000a200000004070000670b00009a0300006d020000120400009408000032070000860c0000c8040000c80200009d0100001802000071030000b902000077080000e70200000b0b0000630b0000840a000092080000b1020000,1670,1,6,-1
8,4a0300000b0b00009c0c0000d406000097060000eb0400006b060000310600001000000050010000a6040000b8050000d5080000e9010000380000007e080000840b0000350b0000e70a000050010000720500001a0200009c0600008b040000020c000057070000fb020000c10900005a0600009d030000510400008401000043090000390c0000fe0800005504000012060000d5000000df0a0000a6010000d50700000c02000014010000ef080000550600004200000016080000610b0000f40900008508000092040000a80a00004a0b0000fd0c0000ea010000d90900002f0b000052050000a5070000040b000096000000d6000000ec010000cd040000,2770,1,0,1
9,7e0b00007f09000078050000ca060000050a00001f0c00002a0000003c060000ec0500009c020000210b0000c80500003b0700000f0700006d0b000041090000bb0a0000b0060000480a0000c6000000640200001a0200003b0c00003b0100008002000041000000e60800004a060000570a0000180500009e0c000080040000e1090000f2050000bc0b00007d070000bb0800007d0800001006000082040000d000000075050000cc0400000a010000ea060000820c0000700c00004e0900009f0b0000040100003306000043080000220800003a0b00000a030000e40600005b000000440600004a010000bf000000f40b000016020000fc0700005a080000,2631,0,3,1
10,500b00007104000099020000630900002c0c0000f9010000c30c00007e020000810000007f0700005d080000990b0000ef090000cb0a00009905000013030000ac000000980c0000510900006b020000490700002e0700006f0c0000170600002e0a00003e0a0000740800007c0400001e070000820c0000d3020000cf030000c901000063030000ff030000d1000000b50c0000e40600008d0300000c0a00008c0200009209000086040000d0010000130b00003303000039020000ae09000029020000c9080000190a0000bb080000a5010000b7010000b5080000cd0c0000060600000e0300005404000054040000550900008b020000ac07000031060000,177,0,5,0
11,0a01000056090000d4090000260b0000a5010000160100002f090000de030000780200003d0600003f0000007a05000020000000d300000085000000ea08000029090000ea0b00003b0700000e0b000090070000f000000099050000190600007a0500005b030000340200005c0c0000240900007d080000820b00005d07000048050000930a0000720700009f07000052080000e30400004f040000a90800009308000090000000530600005003000017060000f20500004101000020000000620a000004080000ad050000e708000004090000b60b0000b10100001004000007070000580700007a050000ef09000042070000fa0000009f030000ac0a0000,1203,0,1,-1
12,a70300004e0b0000b90800007e060000bb060000c10800006f010000e9010000be0100001201000088000000920b0000610300009c00000063060000300c00003a0b0000850c0000fd070000f7080000a50200002f08000033040000f9070000f4090000aa0700007f0400009c0b00008505000057000000ff050000650600001b0500001d0b0000d70b0000fa0400001b09000002080000a10000007e070000e7040000ee0c000020090000dc0100005508000015000000f4090000de0600000a020000a50900005e080000ae050000aa0600003708000074050000e90700000d040000ca06000099010000a2020000fc040000870500001e070000560a0000,1696,0,5,-1
13,6408000019020000da0400008a090000aa080000ab0a00002d0500007f0b0000460c0000330b000063010000bf0c0000f40500007a070000c5050000de030000b4080000ab050000a5000000a60c0000a5080000f8050000e00100008500000069000000a109000018040000340b0000bc0400006e0600008d020000140000002f0c0000b40a000014090000af0b0000d80900000a080000d70300005002000099000000fc050000f7090000db050000be0b0000a10c00009d0b0000cb020000f3070000080200001c040000d9020000bd000000a1080000dd0600005f080000180a000031030000f7070000280a0000520b00002a0c00004a03000053040000,814,1,0,1
14,af0600002e0c0000520a0000a90100000205000074050000fa0a000056060000490a0000d004000067060000420b0000d5040000240c0000400900004603000067070000bb0700006b010000d00a0000f2040000f10000009c030000290300000e020000f0050000e10a00005a080000d1000000e509000008000000900b000023020000260300009d0c000089090000b0090000c40700003d04000062030000b40a00007b030000c40000008a070000180000002304000068010000240100008b070000fd0a00003f0300001d090000ba060000810a0000ab010000d40b00006e060000ef000000c5080000ab000000230c000089060000410300001b000000,235,1,2,0
15,4c0b00004c080000bf0200003107000051040000cd06000037000000330a00000d0b00005d0a00001a090000140c0000f30300001501000020010000710200006e0c000065080000270b0000ef0500005a0b00009f0600004d0200001e0a00008203000000060000d8010000ed0000000b0b0000310b00008e080000a108000093030000170b000086000000e4030000b90c0000ab0c0000a7030000c505000020060000050900004d040000110000005c0c000063070000bc0800008e070000e5010000bd060000170c000024080000f40a000037040000830600007d060000330900006b090000be0b0000d10100001c0400000409000031020000d6060000,124,1,6,-1
16,380100007b0900004b0a000052070000830b0000190800007d050000790c0000c9030000790500002c020000c40900004d050000b20b0000430500005a060000360b000029090000b60b0000470200003b05000056070000290c00006109000095000000080200008c060000bc0c0000da060000fe0a0000550c0000970b00008d080000000b0000f00c0000dc0700001c0000000f020000fb020000c606000008000000c30200000c04000050010000f80b0000b5030000ac050000fc0000001c040000a8000000220c0000b3020000310300008c0b0000af010000c90000004b05000037090000200a0000000a000012090000b60a000080070000940c0000,187,0,7,0
17,23070000fd0a0000e0030000ae0300005d02000018000000660800009f0b000090000000fe070000da060000690500004d0a0000cc0b0000f8030000ee010000010300000004000031030000660c000004080000d40a00006e0600004f03000023030000730b0000c0060000e102000056050000410c0000010c0000e70200002a06000048010000c603000028000000f0070000e70a0000b302000022020000fc0100005c090000d7010000590200001a07000089070000cf0b0000e3070000050400004303000086050000e40900003a080000a90900009400000084040000330c0000600b00008c0a000044090000300c000087000000e4080000f9010000,4,0,0,1
18,fd0800008808000054010000ff05000085060000b507000060060000470900006c0300004a070000a6090000e4060000f4000000a2080000ee010000ef0100005a020000080700004f0c0000af0900008d080000360b0000d408000030030000ce0800004e020000230000001201000015080000880a0000de0c00000e0c0000b1050000210a0000c7060000480300009a0300001a0100008301000038060000010c00009a0500001c06000047010000b1080000090c0000270c0000ca080000dd050000730b0000a9060000ac0a0000bf0900003f030000450300005209000018010000b50200003f04000031060000ec0b0000cb0200002007000003030000,3100,0,5,0
19,92030000400c0000b6030000640a0000280b0000c901000030050000d60b000090030000f1010000d6030000c105000011030000d707000008050000250400001e0800008d030000d30a00007909000023030000cb0600006b040000fa0300005a0a0000b706000049070000ab0c000040030000200c0000c40a0000fe0c00005308000077010000ea0c0000870b0000b30600008e010000bf020000fd000000ab0900008c0c0000f60a0000b00c000063030000730b000089080000ab030000350a00009c0b00008904000073080000be06000023020000df0000002a0b000065090000a40a0000ce02000054020000f3010000ca0300001a0c0000e9000000,317,0,6,1
